slot_v1,slot_v1_abs_log1p,slot_v1_is_even,slot_v1_mod3,slot_v1_mod5,slot_v1_mod7,slot_v1_mod10,slot_t1,slot_t1_abs_log1p,slot_t1_is_even,slot_t1_mod3,slot_t1_mod5,slot_t1_mod7,slot_t1_mod10,slot_v2,slot_v2_abs_log1p,slot_v2_is_even,slot_v2_mod3,slot_v2_mod5,slot_v2_mod7,slot_v2_mod10,slot_t2,slot_t2_abs_log1p,slot_t2_is_even,slot_t2_mod3,slot_t2_mod5,slot_t2_mod7,slot_t2_mod10,slot_speed_unit,slot_distance_unit,slot_time_unit,slot_mover1,slot_mover2,gcd_all,n_multiple_pairs,y
23,3.1780538303479458,0,2,3,2,3,8,2.1972245773362196,1,2,3,1,8,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,0,0,0,0,0,1,1,110.0
39,3.6888794541139363,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,26,3.295836866004329,1,2,1,5,6,8,2.1972245773362196,1,2,3,1,8,1,1,1,1,1,1,0,26.0
31,3.4657359027997265,0,1,1,3,1,5,1.791759469228055,0,2,0,5,5,68,4.23410650459726,1,2,3,5,8,1,0.6931471805599453,0,1,1,1,1,0,0,1,1,1,1,3,87.0
82,4.418840607796598,1,1,2,5,2,6,1.9459101490553132,1,0,1,6,6,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,0,0,2,0,2,2,3,404.0
58,4.07753744390572,1,1,3,2,8,3,1.3862943611198906,0,0,3,3,3,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,1,1,0,0,3,1,3,3.0
92,4.532599493153256,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,33,3.5263605246161616,0,0,3,5,3,1,0.6931471805599453,0,1,1,1,1,0,0,1,0,1,1,4,151.0
46,3.8501476017100584,1,1,1,4,6,8,2.1972245773362196,1,2,3,1,8,64,4.174387269895637,1,1,4,1,4,4,1.6094379124341003,1,1,4,4,4,0,0,1,0,2,2,3,112.0
33,3.5263605246161616,0,0,3,5,3,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,1,1,2,2,3,1,2,90.0
57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,79,4.382026634673881,0,1,4,2,9,1,0.6931471805599453,0,1,1,1,1,0,0,1,3,2,1,4,92.0
53,3.9889840465642745,0,2,3,4,3,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,2,1.0986122886681098,1,2,2,2,2,0,0,0,4,2,1,2,184.0
92,4.532599493153256,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,1,1,1,1,4,1,2,82.0
66,4.204692619390966,1,0,1,3,6,3,1.3862943611198906,0,0,3,3,3,57,4.060443010546419,0,0,2,1,7,3,1.3862943611198906,0,0,3,3,3,0,0,0,5,5,3,5,27.0
63,4.1588830833596715,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,0,2,0,7,2.0794415416798357,0,1,2,0,7,1,1,1,5,3,1,2,105.0
22,3.1354942159291497,1,1,2,1,2,9,2.302585092994046,0,0,4,2,9,33,3.5263605246161616,0,0,3,5,3,5,1.791759469228055,0,2,0,5,5,1,1,1,1,0,1,0,33.0
96,4.574710978503383,1,0,1,5,6,3,1.3862943611198906,0,0,3,3,3,69,4.248495242049359,0,0,4,6,9,3,1.3862943611198906,0,0,3,3,3,1,1,1,3,6,3,5,81.0
68,4.23410650459726,1,2,3,5,8,5,1.791759469228055,0,2,0,5,5,79,4.382026634673881,0,1,4,2,9,3,1.3862943611198906,0,0,3,3,3,0,0,2,2,3,1,0,103.0
100,4.61512051684126,1,1,0,2,0,9,2.302585092994046,0,0,4,2,9,95,4.564348191467836,0,2,0,4,5,8,2.1972245773362196,1,2,3,1,8,0,0,1,0,2,1,0,140.0
75,4.330733340286331,0,0,0,5,5,9,2.302585092994046,0,0,4,2,9,46,3.8501476017100584,1,1,1,4,6,4,1.6094379124341003,1,1,4,4,4,0,0,1,1,2,1,0,491.0
49,3.912023005428146,0,1,4,0,9,3,1.3862943611198906,0,0,3,3,3,48,3.8918202981106265,1,0,3,6,8,1,0.6931471805599453,0,1,1,1,1,1,1,1,5,3,1,4,99.0
85,4.454347296253507,0,1,0,1,5,6,1.9459101490553132,1,0,1,6,6,34,3.5553480614894135,1,1,4,6,4,3,1.3862943611198906,0,0,3,3,3,0,0,2,3,2,1,1,408.0
94,4.553876891600541,1,1,4,3,4,2,1.0986122886681098,1,2,2,2,2,73,4.30406509320417,0,1,3,3,3,1,0.6931471805599453,0,1,1,1,1,1,1,0,3,0,1,4,115.0
49,3.912023005428146,0,1,4,0,9,3,1.3862943611198906,0,0,3,3,3,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,1,1,0,6,6,1,2,111.0
30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,56,4.04305126783455,1,2,1,0,6,1,0.6931471805599453,0,1,1,1,1,1,1,2,6,5,1,4,94.0
64,4.174387269895637,1,1,4,1,4,6,1.9459101490553132,1,0,1,6,6,90,4.51085950651685,1,0,0,6,0,2,1.0986122886681098,1,2,2,2,2,0,0,1,3,6,2,4,204.0
64,4.174387269895637,1,1,4,1,4,2,1.0986122886681098,1,2,2,2,2,14,2.70805020110221,1,2,4,0,4,8,2.1972245773362196,1,2,3,1,8,0,0,2,3,2,2,4,16.0
79,4.382026634673881,0,1,4,2,9,7,2.0794415416798357,0,1,2,0,7,52,3.970291913552122,1,1,2,3,2,9,2.302585092994046,0,0,4,2,9,1,1,0,6,4,1,0,85.0
82,4.418840607796598,1,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,51,3.9512437185814275,0,0,1,2,1,2,1.0986122886681098,1,2,2,2,2,0,0,1,3,4,1,2,144.0
44,3.8066624897703196,1,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,51,3.9512437185814275,0,0,1,2,1,1,0.6931471805599453,0,1,1,1,1,0,0,1,3,1,1,4,81.0
91,4.5217885770490405,0,1,1,0,1,8,2.1972245773362196,1,2,3,1,8,77,4.356708826689592,0,2,2,0,7,3,1.3862943611198906,0,0,3,3,3,1,1,2,3,6,1,0,497.0
25,3.258096538021482,0,1,0,4,5,6,1.9459101490553132,1,0,1,6,6,61,4.127134385045092,0,1,1,5,1,1,0.6931471805599453,0,1,1,1,1,1,1,1,2,5,1,3,89.0
34,3.5553480614894135,1,1,4,6,4,2,1.0986122886681098,1,2,2,2,2,31,3.4657359027997265,0,1,1,3,1,1,0.6931471805599453,0,1,1,1,1,0,0,2,5,6,1,4,37.0
24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,2,1.0986122886681098,1,2,2,2,2,0,0,1,5,2,1,3,40.0
31,3.4657359027997265,0,1,1,3,1,9,2.302585092994046,0,0,4,2,9,89,4.499809670330265,0,2,4,5,9,3,1.3862943611198906,0,0,3,3,3,1,1,0,6,4,1,1,12.0
24,3.2188758248682006,1,0,4,3,4,4,1.6094379124341003,1,1,4,4,4,88,4.48863636973214,1,1,3,4,8,1,0.6931471805599453,0,1,1,1,1,1,1,0,0,6,1,5,8.0
72,4.290459441148391,1,0,2,2,2,5,1.791759469228055,0,2,0,5,5,80,4.394449154672439,1,2,0,3,0,3,1.3862943611198906,0,0,3,3,3,0,0,1,4,2,1,2,120.0
98,4.59511985013459,1,2,3,0,8,8,2.1972245773362196,1,2,3,1,8,99,4.605170185988092,0,0,4,1,9,3,1.3862943611198906,0,0,3,3,3,1,1,2,5,5,1,1,487.0
60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,0,0,1,2,2,1,1,68.0
24,3.2188758248682006,1,0,4,3,4,3,1.3862943611198906,0,0,3,3,3,41,3.7376696182833684,0,2,1,6,1,1,0.6931471805599453,0,1,1,1,1,0,0,0,1,4,1,4,31.0
47,3.871201010907891,0,2,2,5,7,3,1.3862943611198906,0,0,3,3,3,45,3.828641396489095,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,1,1,0,2,2,1,3,6.0
81,4.406719247264253,0,0,1,4,1,2,1.0986122886681098,1,2,2,2,2,46,3.8501476017100584,1,1,1,4,6,3,1.3862943611198906,0,0,3,3,3,1,1,1,1,4,1,2,24.0
68,4.23410650459726,1,2,3,5,8,8,2.1972245773362196,1,2,3,1,8,68,4.23410650459726,1,2,3,5,8,6,1.9459101490553132,1,0,1,6,6,0,0,1,2,6,2,1,136.0
70,4.2626798770413155,1,1,0,0,0,4,1.6094379124341003,1,1,4,4,4,72,4.290459441148391,1,0,2,2,2,1,0.6931471805599453,0,1,1,1,1,1,1,1,3,6,1,4,208.0
56,4.04305126783455,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,8,2.1972245773362196,1,2,3,1,8,0,0,2,4,3,8,5,256.0
26,3.295836866004329,1,2,1,5,6,4,1.6094379124341003,1,1,4,4,4,88,4.48863636973214,1,1,3,4,8,1,0.6931471805599453,0,1,1,1,1,0,0,2,5,3,1,4,16.0
