slot_company_name,slot_visit_fee,slot_visit_fee_abs_log1p,slot_visit_fee_sign,slot_visit_fee_is_even,slot_visit_fee_mod3,slot_visit_fee_mod7,slot_visit_fee_mod10,slot_hourly_rate,slot_hourly_rate_abs_log1p,slot_hourly_rate_is_even,slot_hourly_rate_mod3,slot_hourly_rate_mod7,slot_hourly_rate_mod10,slot_time_hours,slot_time_hours_abs_log1p,slot_time_hours_frac,slot_time_hours_n_decimals,slot_parts_cost,slot_parts_cost_abs_log1p,slot_parts_cost_sign,slot_parts_cost_is_even,slot_parts_cost_mod3,slot_parts_cost_mod7,slot_parts_cost_mod10,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,120,4.795790545596741,1,1,0,1,0,85,4.454347296253507,0,1,1,5,2.0,1.0986122886681098,0.0,1,180,5.198497031265826,1,1,0,5,0,0,5,0,470.0
1,40,3.713572066704308,1,1,1,5,0,125,4.836281906951478,0,2,6,5,1.0,0.6931471805599453,0.0,1,410,6.018593214496234,1,1,2,4,0,0,5,0,575.0
1,120,4.795790545596741,1,1,0,1,0,80,4.394449154672439,1,2,3,0,6.5,2.0149030205422647,0.5,1,20,3.044522437723423,1,1,2,6,0,1,20,2,700.0
0,85,4.454347296253507,1,0,1,1,5,25,3.258096538021482,0,1,4,5,5.75,1.9095425048844386,0.75,2,495,6.206575926724928,1,0,0,5,5,2,5,0,730.0
0,150,5.017279836814924,1,1,0,3,0,90,4.51085950651685,1,0,6,0,4.0,1.6094379124341003,0.0,1,175,5.170483995038151,1,0,1,0,5,0,5,0,685.0
2,40,3.713572066704308,1,1,1,5,0,130,4.875197323201151,1,1,4,0,5.75,1.9095425048844386,0.75,2,195,5.278114659230517,1,0,0,6,5,1,5,0,1015.0
3,105,4.663439094112067,1,0,0,0,5,35,3.58351893845611,0,2,0,5,8.0,2.1972245773362196,0.0,1,495,6.206575926724928,1,0,0,5,5,1,5,1,880.0
0,55,4.02535169073515,1,0,1,6,5,105,4.663439094112067,0,0,0,5,1.25,0.8109302162163288,0.25,2,100,4.61512051684126,1,1,1,2,0,1,5,0,365.0
4,15,2.772588722239781,1,0,0,1,5,50,3.9318256327243257,1,2,1,0,6.25,1.9810014688665833,0.25,2,385,5.955837369464831,1,0,1,0,5,0,5,0,750.0
3,130,4.875197323201151,1,1,1,4,0,60,4.110873864173311,1,0,4,0,2.5,1.252762968495368,0.5,1,235,5.4638318050256105,1,0,1,4,5,0,5,0,545.0
5,105,4.663439094112067,1,0,0,0,5,20,3.044522437723423,1,2,6,0,4.5,1.7047480922384253,0.5,1,325,5.786897381366708,1,0,1,3,5,2,5,0,530.0
2,15,2.772588722239781,1,0,0,1,5,125,4.836281906951478,0,2,6,5,1.25,0.8109302162163288,0.25,2,45,3.828641396489095,1,0,0,3,5,1,5,1,310.0
1,5,1.791759469228055,1,0,2,5,5,45,3.828641396489095,0,0,3,5,4.25,1.6582280766035324,0.25,2,235,5.4638318050256105,1,0,1,4,5,2,5,2,465.0
4,105,4.663439094112067,1,0,0,0,5,30,3.4339872044851463,1,0,2,0,3.5,1.5040773967762742,0.5,1,300,5.707110264748875,1,1,0,6,0,2,15,1,525.0
0,145,4.983606621708336,1,0,1,5,5,130,4.875197323201151,1,1,4,0,5.75,1.9095425048844386,0.75,2,140,4.948759890378168,1,1,2,0,0,2,5,0,1065.0
3,130,4.875197323201151,1,1,1,4,0,75,4.330733340286331,0,0,5,5,4.75,1.749199854809259,0.75,2,145,4.983606621708336,1,0,1,5,5,0,5,0,650.0
1,55,4.02535169073515,1,0,1,6,5,35,3.58351893845611,0,2,0,5,3.5,1.5040773967762742,0.5,1,245,5.5053315359323625,1,0,2,0,5,2,5,1,440.0
2,110,4.709530201312334,1,1,2,5,0,25,3.258096538021482,0,1,4,5,6.25,1.9810014688665833,0.25,2,115,4.7535901911063645,1,0,1,3,5,2,5,0,400.0
6,140,4.948759890378168,1,1,2,0,0,30,3.4339872044851463,1,0,2,0,4.5,1.7047480922384253,0.5,1,85,4.454347296253507,1,0,1,1,5,0,5,0,375.0
6,95,4.564348191467836,1,0,2,4,5,140,4.948759890378168,1,2,0,0,1.25,0.8109302162163288,0.25,2,35,3.58351893845611,1,0,2,0,5,0,5,1,410.0
0,85,4.454347296253507,1,0,1,1,5,95,4.564348191467836,0,2,4,5,7.25,2.1102132003465894,0.25,2,65,4.189654742026425,1,0,2,2,5,0,5,0,910.0
0,115,4.7535901911063645,1,0,1,3,5,85,4.454347296253507,0,1,1,5,5.75,1.9095425048844386,0.75,2,180,5.198497031265826,1,1,0,5,0,2,5,0,805.0
1,10,2.3978952727983707,1,1,1,3,0,145,4.983606621708336,0,1,5,5,8.0,2.1972245773362196,0.0,1,75,4.330733340286331,1,0,0,5,5,2,5,0,1245.0
1,15,2.772588722239781,1,0,0,1,5,150,5.017279836814924,1,0,3,0,7.5,2.1400661634962708,0.5,1,75,4.330733340286331,1,0,0,5,5,2,15,3,1290.0
5,125,4.836281906951478,1,0,2,6,5,45,3.828641396489095,0,0,3,5,8.0,2.1972245773362196,0.0,1,100,4.61512051684126,1,1,1,2,0,1,5,0,585.0
6,5,1.791759469228055,1,0,2,5,5,25,3.258096538021482,0,1,4,5,6.0,1.9459101490553132,0.0,1,490,6.19644412779452,1,1,1,0,0,1,5,2,645.0
5,40,3.713572066704308,1,1,1,5,0,60,4.110873864173311,1,0,4,0,5.25,1.8325814637483102,0.25,2,40,3.713572066704308,1,1,1,5,0,2,20,1,440.0
4,75,4.330733340286331,1,0,0,5,5,45,3.828641396489095,0,0,3,5,7.0,2.0794415416798357,0.0,1,490,6.19644412779452,1,1,1,0,0,0,5,0,880.0
4,110,4.709530201312334,1,1,2,5,0,90,4.51085950651685,1,0,6,0,4.5,1.7047480922384253,0.5,1,440,6.089044875446846,1,1,2,6,0,0,10,1,1000.0
7,115,4.7535901911063645,1,0,1,3,5,90,4.51085950651685,1,0,6,0,4.75,1.749199854809259,0.75,2,25,3.258096538021482,1,0,1,4,5,0,5,0,590.0
