slot_seller_name,slot_venue,slot_currency_symbol,slot_item1_name_plural,slot_item2_name_plural,slot_item3_name_plural,slot_qty1,slot_qty1_abs_log1p,slot_qty1_is_even,slot_qty1_mod3,slot_qty1_mod5,slot_qty1_mod7,slot_qty1_mod10,slot_qty2,slot_qty2_abs_log1p,slot_qty2_is_even,slot_qty2_mod3,slot_qty2_mod5,slot_qty2_mod7,slot_qty2_mod10,slot_qty3,slot_qty3_abs_log1p,slot_qty3_is_even,slot_qty3_mod3,slot_qty3_mod5,slot_qty3_mod7,slot_qty3_mod10,slot_price1,slot_price1_abs_log1p,slot_price1_frac,slot_price1_n_decimals,slot_price2,slot_price2_abs_log1p,slot_price2_frac,slot_price2_n_decimals,slot_price3,slot_price3_abs_log1p,slot_price3_frac,slot_price3_n_decimals,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,4,1.6094379124341003,1,1,4,4,4,15,2.772588722239781,0,0,0,1,5,20,3.044522437723423,1,2,0,6,0,5.0,1.791759469228055,0.0,1,8.25,2.224623551524334,0.25,2,7.75,2.169053700369523,0.75,2,1,1,298.75
1,1,1,1,1,0,16,2.833213344056216,1,1,1,2,6,19,2.995732273553991,0,1,4,5,9,9,2.302585092994046,0,0,4,2,9,6.5,2.0149030205422647,0.5,1,3.5,1.5040773967762742,0.5,1,7.5,2.1400661634962708,0.5,1,1,0,238.0
2,2,0,0,2,1,9,2.302585092994046,0,0,4,2,9,30,3.4339872044851463,1,0,0,2,0,28,3.367295829986474,1,1,3,0,8,4.25,1.6582280766035324,0.25,2,6.5,2.0149030205422647,0.5,1,5.5,1.8718021769015913,0.5,1,1,0,387.25
3,2,0,2,3,2,16,2.833213344056216,1,1,1,2,6,14,2.70805020110221,1,2,4,0,4,24,3.2188758248682006,1,0,4,3,4,7.25,2.1102132003465894,0.25,2,3.75,1.55814461804655,0.75,2,3.25,1.4469189829363254,0.25,2,2,0,246.5
3,3,2,1,4,3,18,2.9444389791664403,1,0,3,4,8,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,9.25,2.327277705584417,0.25,2,1.5,0.9162907318741551,0.5,1,10.0,2.3978952727983707,0.0,1,1,0,327.0
4,4,0,3,5,4,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,21,3.091042453358316,0,0,1,0,1,7.75,2.169053700369523,0.75,2,1.75,1.0116009116784799,0.75,2,8.0,2.1972245773362196,0.0,1,1,0,249.25
5,0,0,3,6,5,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,22,3.1354942159291497,1,1,2,1,2,1.75,1.0116009116784799,0.75,2,0.25,0.22314355131420976,0.25,2,0.25,0.22314355131420976,0.25,2,1,0,21.75
3,2,1,1,7,6,25,3.258096538021482,0,1,0,4,5,39,3.6888794541139363,0,0,4,4,9,33,3.5263605246161616,0,0,3,5,3,10.0,2.3978952727983707,0.0,1,7.25,2.1102132003465894,0.25,2,3.75,1.55814461804655,0.75,2,1,0,656.5
6,0,0,4,8,7,39,3.6888794541139363,0,0,4,4,9,34,3.5553480614894135,1,1,4,6,4,23,3.1780538303479458,0,2,3,2,3,6.75,2.0476928433652555,0.75,2,7.0,2.0794415416798357,0.0,1,3.0,1.3862943611198906,0.0,1,1,0,570.25
7,0,2,5,0,8,39,3.6888794541139363,0,0,4,4,9,18,2.9444389791664403,1,0,3,4,8,12,2.5649493574615367,1,0,2,5,2,3.75,1.55814461804655,0.75,2,5.75,1.9095425048844386,0.75,2,6.75,2.0476928433652555,0.75,2,3,0,330.75
0,4,2,3,5,3,22,3.1354942159291497,1,1,2,1,2,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,6.75,2.0476928433652555,0.75,2,3.75,1.55814461804655,0.75,2,6.5,2.0149030205422647,0.5,1,1,1,268.75
1,4,0,6,9,2,34,3.5553480614894135,1,1,4,6,4,38,3.6635616461296463,1,2,3,3,8,4,1.6094379124341003,1,1,4,4,4,7.5,2.1400661634962708,0.5,1,7.0,2.0794415416798357,0.0,1,2.5,1.252762968495368,0.5,1,2,0,531.0
8,0,1,6,10,3,27,3.332204510175204,0,0,2,6,7,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,2.5,1.252762968495368,0.5,1,3.25,1.4469189829363254,0.25,2,1.5,0.9162907318741551,0.5,1,1,0,135.0
5,1,0,3,3,3,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,3.5,1.5040773967762742,0.5,1,5.75,1.9095425048844386,0.75,2,8.5,2.2512917986064953,0.5,1,5,2,276.25
4,1,2,7,10,9,13,2.6390573296152584,0,1,3,6,3,33,3.5263605246161616,0,0,3,5,3,24,3.2188758248682006,1,0,4,3,4,6.75,2.0476928433652555,0.75,2,4.75,1.749199854809259,0.75,2,7.5,2.1400661634962708,0.5,1,1,0,424.5
3,2,2,8,6,8,40,3.713572066704308,1,1,0,5,0,31,3.4657359027997265,0,1,1,3,1,17,2.8903717578961645,0,2,2,3,7,7.75,2.169053700369523,0.75,2,4.0,1.6094379124341003,0.0,1,8.5,2.2512917986064953,0.5,1,1,0,578.5
9,2,2,2,1,10,21,3.091042453358316,0,0,1,0,1,5,1.791759469228055,0,2,0,5,5,28,3.367295829986474,1,1,3,0,8,4.0,1.6094379124341003,0.0,1,6.25,1.9810014688665833,0.25,2,5.0,1.791759469228055,0.0,1,1,0,255.25
7,2,0,9,4,5,39,3.6888794541139363,0,0,4,4,9,24,3.2188758248682006,1,0,4,3,4,34,3.5553480614894135,1,1,4,6,4,5.5,1.8718021769015913,0.5,1,4.75,1.749199854809259,0.75,2,6.5,2.0149030205422647,0.5,1,1,0,549.5
10,3,0,5,11,5,18,2.9444389791664403,1,0,3,4,8,24,3.2188758248682006,1,0,4,3,4,16,2.833213344056216,1,1,1,2,6,3.75,1.55814461804655,0.75,2,2.75,1.3217558399823195,0.75,2,5.5,1.8718021769015913,0.5,1,2,0,221.5
11,0,1,3,6,0,6,1.9459101490553132,1,0,1,6,6,16,2.833213344056216,1,1,1,2,6,24,3.2188758248682006,1,0,4,3,4,2.5,1.252762968495368,0.5,1,2.25,1.1786549963416462,0.25,2,9.5,2.3513752571634776,0.5,1,2,1,279.0
0,4,0,6,8,11,12,2.5649493574615367,1,0,2,5,2,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,0.75,0.5596157879354227,0.75,2,8.5,2.2512917986064953,0.5,1,3.5,1.5040773967762742,0.5,1,1,1,239.0
11,1,1,10,3,12,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,18,2.9444389791664403,1,0,3,4,8,1.75,1.0116009116784799,0.75,2,2.25,1.1786549963416462,0.25,2,7.25,2.1102132003465894,0.25,2,1,1,183.75
3,2,2,11,5,8,22,3.1354942159291497,1,1,2,1,2,8,2.1972245773362196,1,2,3,1,8,38,3.6635616461296463,1,2,3,3,8,2.75,1.3217558399823195,0.75,2,2.25,1.1786549963416462,0.25,2,8.5,2.2512917986064953,0.5,1,2,0,401.5
0,1,2,12,6,8,20,3.044522437723423,1,2,0,6,0,26,3.295836866004329,1,2,1,5,6,35,3.58351893845611,0,2,0,0,5,1.25,0.8109302162163288,0.25,2,10.0,2.3978952727983707,0.0,1,1.0,0.6931471805599453,0.0,1,1,0,320.0
3,4,0,10,9,1,8,2.1972245773362196,1,2,3,1,8,23,3.1780538303479458,0,2,3,2,3,8,2.1972245773362196,1,2,3,1,8,5.25,1.8325814637483102,0.25,2,6.75,2.0476928433652555,0.75,2,5.5,1.8718021769015913,0.5,1,1,1,241.25
0,3,1,12,7,2,30,3.4339872044851463,1,0,0,2,0,3,1.3862943611198906,0,0,3,3,3,22,3.1354942159291497,1,1,2,1,2,5.25,1.8325814637483102,0.25,2,1.75,1.0116009116784799,0.75,2,0.25,0.22314355131420976,0.25,2,1,1,168.25
8,5,1,3,4,9,3,1.3862943611198906,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,8,2.1972245773362196,1,2,3,1,8,8.25,2.224623551524334,0.25,2,4.75,1.749199854809259,0.75,2,4.5,1.7047480922384253,0.5,1,1,0,198.5
0,5,0,3,7,10,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,5.5,1.8718021769015913,0.5,1,5.5,1.8718021769015913,0.5,1,1.75,1.0116009116784799,0.75,2,1,1,82.25
1,3,1,8,4,11,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,10.0,2.3978952727983707,0.0,1,4.75,1.749199854809259,0.75,2,4.75,1.749199854809259,0.75,2,1,0,316.0
11,2,0,7,0,8,22,3.1354942159291497,1,1,2,1,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5.75,1.9095425048844386,0.75,2,1.0,0.6931471805599453,0.0,1,5.5,1.8718021769015913,0.5,1,1,1,156.0
5,0,1,6,12,0,37,3.6375861597263857,0,1,2,2,7,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,3.75,1.55814461804655,0.75,2,1.0,0.6931471805599453,0.0,1,8.25,2.224623551524334,0.25,2,1,1,183.25
8,3,1,0,12,3,29,3.4011973816621555,0,2,4,1,9,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,0.25,0.22314355131420976,0.25,2,8.5,2.2512917986064953,0.5,1,3.75,1.55814461804655,0.75,2,1,0,206.25
1,3,2,13,10,7,37,3.6375861597263857,0,1,2,2,7,14,2.70805020110221,1,2,4,0,4,10,2.3978952727983707,1,1,0,3,0,5.25,1.8325814637483102,0.25,2,8.0,2.1972245773362196,0.0,1,9.0,2.302585092994046,0.0,1,1,0,396.25
3,5,1,10,9,7,15,2.772588722239781,0,0,0,1,5,10,2.3978952727983707,1,1,0,3,0,10,2.3978952727983707,1,1,0,3,0,0.25,0.22314355131420976,0.25,2,5.0,1.791759469228055,0.0,1,1.75,1.0116009116784799,0.75,2,5,1,71.25
9,5,0,7,13,0,22,3.1354942159291497,1,1,2,1,2,14,2.70805020110221,1,2,4,0,4,27,3.332204510175204,0,0,2,6,7,7.5,2.1400661634962708,0.5,1,7.5,2.1400661634962708,0.5,1,5.5,1.8718021769015913,0.5,1,1,0,418.5
8,2,0,10,6,1,37,3.6375861597263857,0,1,2,2,7,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,4.5,1.7047480922384253,0.5,1,0.25,0.22314355131420976,0.25,2,2.0,1.0986122886681098,0.0,1,1,0,189.0
1,0,1,2,12,7,31,3.4657359027997265,0,1,1,3,1,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,5.75,1.9095425048844386,0.75,2,4.0,1.6094379124341003,0.0,1,9.75,2.3749057545736716,0.75,2,1,0,241.75
4,0,0,12,6,5,23,3.1780538303479458,0,2,3,2,3,35,3.58351893845611,0,2,0,0,5,31,3.4657359027997265,0,1,1,3,1,7.75,2.169053700369523,0.75,2,0.5,0.4054651081081644,0.5,1,0.75,0.5596157879354227,0.75,2,1,0,219.0
4,4,2,5,2,13,19,2.995732273553991,0,1,4,5,9,36,3.6109179126442243,1,0,1,1,6,16,2.833213344056216,1,1,1,2,6,4.0,1.6094379124341003,0.0,1,7.5,2.1400661634962708,0.5,1,5.25,1.8325814637483102,0.25,2,1,0,430.0
4,4,0,2,11,3,13,2.6390573296152584,0,1,3,6,3,36,3.6109179126442243,1,0,1,1,6,4,1.6094379124341003,1,1,4,4,4,0.75,0.5596157879354227,0.75,2,8.75,2.277267285009756,0.75,2,8.75,2.277267285009756,0.75,2,1,1,359.75
3,1,1,6,9,14,16,2.833213344056216,1,1,1,2,6,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,1.25,0.8109302162163288,0.25,2,4.0,1.6094379124341003,0.0,1,6.25,1.9810014688665833,0.25,2,1,1,151.25
4,2,2,3,4,12,38,3.6635616461296463,1,2,3,3,8,18,2.9444389791664403,1,0,3,4,8,10,2.3978952727983707,1,1,0,3,0,6.75,2.0476928433652555,0.75,2,0.25,0.22314355131420976,0.25,2,5.25,1.8325814637483102,0.25,2,2,0,313.5
11,3,0,5,8,2,39,3.6888794541139363,0,0,4,4,9,20,3.044522437723423,1,2,0,6,0,27,3.332204510175204,0,0,2,6,7,5.75,1.9095425048844386,0.75,2,4.5,1.7047480922384253,0.5,1,2.25,1.1786549963416462,0.25,2,1,0,375.0
5,3,1,2,13,14,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,32,3.4965075614664802,1,2,2,4,2,5.25,1.8325814637483102,0.25,2,1.5,0.9162907318741551,0.5,1,7.25,2.1102132003465894,0.25,2,1,0,262.75
2,2,0,5,5,2,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,35,3.58351893845611,0,2,0,0,5,5.5,1.8718021769015913,0.5,1,4.75,1.749199854809259,0.75,2,5.25,1.8325814637483102,0.25,2,1,1,326.75
8,0,1,14,1,5,3,1.3862943611198906,0,0,3,3,3,16,2.833213344056216,1,1,1,2,6,18,2.9444389791664403,1,0,3,4,8,2.0,1.0986122886681098,0.0,1,1.0,0.6931471805599453,0.0,1,8.25,2.224623551524334,0.25,2,1,1,170.5
11,0,2,4,4,7,27,3.332204510175204,0,0,2,6,7,27,3.332204510175204,0,0,2,6,7,13,2.6390573296152584,0,1,3,6,3,6.25,1.9810014688665833,0.25,2,8.25,2.224623551524334,0.25,2,9.5,2.3513752571634776,0.5,1,1,1,515.0
