slot_person_name,slot_giver_name,slot_item_plural,slot_init_amt,slot_init_amt_abs_log1p,slot_init_amt_is_even,slot_init_amt_mod3,slot_init_amt_mod5,slot_init_amt_mod7,slot_init_amt_mod10,slot_loss_amt,slot_loss_amt_abs_log1p,slot_loss_amt_is_even,slot_loss_amt_mod3,slot_loss_amt_mod5,slot_loss_amt_mod7,slot_loss_amt_mod10,slot_gain_amt,slot_gain_amt_abs_log1p,slot_gain_amt_is_even,slot_gain_amt_mod3,slot_gain_amt_mod5,slot_gain_amt_mod7,slot_gain_amt_mod10,slot_reason_initial,slot_loss_context,slot_reason_additional,gcd_all,n_multiple_pairs,y
0,0,0,31,3.4657359027997265,0,1,1,3,1,26,3.295836866004329,1,2,1,5,6,35,3.58351893845611,0,2,0,0,5,0,0,0,1,0,40.0
1,1,1,25,3.258096538021482,0,1,0,4,5,13,2.6390573296152584,0,1,3,6,3,11,2.4849066497880004,0,2,1,4,1,1,1,1,1,0,23.0
2,2,0,48,3.8918202981106265,1,0,3,6,8,8,2.1972245773362196,1,2,3,1,8,12,2.5649493574615367,1,0,2,5,2,2,2,2,4,2,52.0
1,2,2,39,3.6888794541139363,0,0,4,4,9,2,1.0986122886681098,1,2,2,2,2,9,2.302585092994046,0,0,4,2,9,3,0,1,1,0,46.0
3,3,3,47,3.871201010907891,0,2,2,5,7,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,1,1,3,1,0,37.0
2,4,4,32,3.4965075614664802,1,2,2,4,2,20,3.044522437723423,1,2,0,6,0,21,3.091042453358316,0,0,1,0,1,3,3,1,1,0,33.0
4,5,5,27,3.332204510175204,0,0,2,6,7,7,2.0794415416798357,0,1,2,0,7,34,3.5553480614894135,1,1,4,6,4,4,1,4,1,0,54.0
3,6,3,7,2.0794415416798357,0,1,2,0,7,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,0,4,3,1,1,7.0
5,7,6,38,3.6635616461296463,1,2,3,3,8,16,2.833213344056216,1,1,1,2,6,36,3.6109179126442243,1,0,1,1,6,1,5,2,2,0,58.0
3,8,1,42,3.7612001156935624,1,0,2,0,2,2,1.0986122886681098,1,2,2,2,2,11,2.4849066497880004,0,2,1,4,1,0,6,5,1,1,51.0
