slot_reported,slot_reported_abs_log1p,slot_reported_is_even,slot_reported_mod3,slot_reported_mod5,slot_reported_mod7,slot_reported_mod10,slot_percent,slot_percent_abs_log1p,slot_percent_is_even,slot_percent_mod3,slot_percent_mod5,slot_percent_mod7,slot_percent_mod10,slot_name_overstater,slot_name_corrector,slot_event,gcd_all,n_multiple_pairs,y
726,6.588926477533519,1,0,1,5,6,21,3.091042453358316,0,0,1,0,1,0,0,0,3,0,600.0
1112,7.014814351275545,1,2,2,6,2,39,3.6888794541139363,0,0,4,4,9,1,1,1,1,0,800.0
171,5.147494476813453,0,0,1,3,1,14,2.70805020110221,1,2,4,0,4,2,2,2,1,0,150.0
1652,7.410347097821024,1,2,2,0,2,18,2.9444389791664403,1,0,3,4,8,3,3,0,2,0,1400.0
874,6.774223886357614,1,1,4,6,4,52,3.970291913552122,1,1,2,3,2,4,4,3,2,0,575.0
1809,7.501082124259871,0,0,4,3,9,34,3.5553480614894135,1,1,4,6,4,5,3,0,1,0,1350.0
1605,7.381501894506707,0,0,0,2,5,7,2.0794415416798357,0,1,2,0,7,4,5,4,1,0,1500.0
595,6.39024066706535,0,1,0,0,5,19,2.995732273553991,0,1,4,5,9,1,4,0,1,0,500.0
585,6.373319789577012,0,0,0,4,5,17,2.8903717578961645,0,2,2,3,7,4,3,4,1,0,500.0
212,5.3612921657094255,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,6,4,5,2,0,200.0
1974,7.5883236773352225,1,0,4,0,4,41,3.7376696182833684,0,2,1,6,1,2,0,6,1,0,1400.0
274,5.616771097666572,1,1,4,1,4,37,3.6375861597263857,0,1,2,2,7,5,3,0,1,0,200.0
216,5.37989735354046,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,5,3,7,8,1,200.0
413,6.025865973825314,0,2,3,0,3,18,2.9444389791664403,1,0,3,4,8,5,6,1,1,0,350.0
2192,7.693025748417888,1,2,2,1,2,37,3.6375861597263857,0,1,2,2,7,7,6,3,1,0,1600.0
1639,7.402451520818244,0,1,4,1,9,49,3.912023005428146,0,1,4,0,9,3,4,5,1,0,1100.0
259,5.560681631015528,0,1,4,0,9,48,3.8918202981106265,1,0,3,6,8,2,4,7,1,0,175.0
1386,7.234898420314831,1,0,1,0,6,26,3.295836866004329,1,2,1,5,6,2,1,2,2,0,1100.0
1134,7.034387929915503,1,0,4,0,4,26,3.295836866004329,1,2,1,5,6,7,2,3,2,0,900.0
2431,7.796469243086058,0,1,1,2,1,43,3.784189633918261,0,1,3,1,3,2,5,3,1,0,1700.0
1096,7.00033446027523,1,1,1,4,6,37,3.6375861597263857,0,1,2,2,7,7,3,2,1,0,800.0
