slot_d1,slot_d1_abs_log1p,slot_d1_is_even,slot_d1_mod3,slot_d1_mod5,slot_d1_mod7,slot_d1_mod10,slot_d2,slot_d2_abs_log1p,slot_d2_is_even,slot_d2_mod3,slot_d2_mod5,slot_d2_mod7,slot_d2_mod10,slot_d3,slot_d3_abs_log1p,slot_d3_is_even,slot_d3_mod3,slot_d3_mod5,slot_d3_mod7,slot_d3_mod10,slot_removed,slot_removed_abs_log1p,slot_removed_sign,slot_removed_is_even,slot_removed_mod3,slot_removed_mod5,slot_removed_mod7,slot_removed_mod10,slot_k,slot_k_abs_log1p,slot_k_is_even,slot_k_mod3,slot_k_mod5,slot_k_mod7,slot_k_mod10,slot_group,slot_place,slot_event_phrase,gcd_all,n_multiple_pairs,y
13,2.6390573296152584,0,1,3,6,3,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,0,2,0,0,0.0,0,1,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,0,0,0,1,3,29.0
16,2.833213344056216,1,1,1,2,6,14,2.70805020110221,1,2,4,0,4,27,3.332204510175204,0,0,2,6,7,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,0,1,1,2,25.0
26,3.295836866004329,1,2,1,5,6,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,1,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1,2,1,2,52.0
17,2.8903717578961645,0,2,2,3,7,8,2.1972245773362196,1,2,3,1,8,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,0,2,2,1,3,38.0
15,2.772588722239781,0,0,0,1,5,27,3.332204510175204,0,0,2,6,7,29,3.4011973816621555,0,2,4,1,9,0,0.0,0,1,0,0,0,0,5,1.791759469228055,0,2,0,5,5,0,3,2,1,1,4.0
13,2.6390573296152584,0,1,3,6,3,14,2.70805020110221,1,2,4,0,4,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,1,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,2,4,3,1,5,29.0
28,3.367295829986474,1,1,3,0,8,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,3,0,3,1,5,23.0
29,3.4011973816621555,0,2,4,1,9,5,1.791759469228055,0,2,0,5,5,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,1,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,0,0,3,1,1,129.0
28,3.367295829986474,1,1,3,0,8,21,3.091042453358316,0,0,1,0,1,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,0,3,4,1,2,69.0
8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,1,1,4,1,4,4.0
12,2.5649493574615367,1,0,2,5,2,12,2.5649493574615367,1,0,2,5,2,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,1,0,0,3,3,3,6,1.9459101490553132,1,0,1,6,6,4,4,4,3,8,33.0
30,3.4339872044851463,1,0,0,2,0,15,2.772588722239781,0,0,0,1,5,18,2.9444389791664403,1,0,3,4,8,3,1.3862943611198906,1,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,5,3,1,3,8,30.0
23,3.1780538303479458,0,2,3,2,3,23,3.1780538303479458,0,2,3,2,3,17,2.8903717578961645,0,2,2,3,7,2,1.0986122886681098,1,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,2,0,5,1,1,54.0
14,2.70805020110221,1,2,4,0,4,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,0,0,4,1,2,6.0
20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,24,3.2188758248682006,1,0,4,3,4,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4,5,0,1,4,13.0
10,2.3978952727983707,1,1,0,3,0,25,3.258096538021482,0,1,0,4,5,13,2.6390573296152584,0,1,3,6,3,3,1.3862943611198906,1,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,2,4,1,2,5.0
22,3.1354942159291497,1,1,2,1,2,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,1,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,5,0,4,1,1,94.0
