slot_person_name,slot_base_age,slot_base_age_abs_log1p,slot_base_age_is_even,slot_base_age_mod3,slot_base_age_mod5,slot_base_age_mod7,slot_base_age_mod10,slot_brother_multiplier,slot_brother_multiplier_abs_log1p,slot_brother_multiplier_is_even,slot_brother_multiplier_mod3,slot_brother_multiplier_mod5,slot_brother_multiplier_mod7,slot_brother_multiplier_mod10,slot_younger_percent,slot_younger_percent_abs_log1p,slot_younger_percent_is_even,slot_younger_percent_mod3,slot_younger_percent_mod7,slot_younger_percent_mod10,gcd_all,n_multiple_pairs,y
0,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,3,3,282.0
1,56,4.04305126783455,1,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,1,0,2,1,308.0
2,48,3.8918202981106265,1,0,3,6,8,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,1,216.0
3,48,3.8918202981106265,1,0,3,6,8,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,180.0
3,40,3.713572066704308,1,1,0,5,0,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,3,0,2,3,156.0
4,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,5,2,405.0
1,16,2.833213344056216,1,1,1,2,6,6,1.9459101490553132,1,0,1,6,6,25,3.258096538021482,0,1,4,5,1,0,124.0
5,50,3.9318256327243257,1,2,0,1,0,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,1,0,2,3,175.0
0,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,1,1,98.0
0,50,3.9318256327243257,1,2,0,1,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,1,295.0
6,35,3.58351893845611,0,2,0,0,5,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,0,161.0
0,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,2,474.0
0,32,3.4965075614664802,1,2,2,4,2,6,1.9459101490553132,1,0,1,6,6,50,3.9318256327243257,1,2,1,0,2,0,240.0
2,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,57.0
6,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,10,2.3978952727983707,1,1,3,0,1,1,49.0
7,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,2,0,2,1,114.0
5,20,3.044522437723423,1,2,0,6,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,2,134.0
1,44,3.8066624897703196,1,2,4,2,4,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,209.0
8,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,1,46.0
5,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,30,3.4339872044851463,1,0,2,0,5,3,201.0
9,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,1,0,2,0,33.0
4,30,3.4339872044851463,1,0,0,2,0,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,3,0,2,1,177.0
7,60,4.110873864173311,1,0,0,4,0,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,1,285.0
1,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,30,3.4339872044851463,1,0,2,0,1,1,94.0
3,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,1,171.0
5,20,3.044522437723423,1,2,0,6,0,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,95.0
6,50,3.9318256327243257,1,2,0,1,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,5,3,345.0
4,28,3.367295829986474,1,1,3,0,8,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,4,5,1,1,189.0
5,55,4.02535169073515,0,1,0,6,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,374.0
4,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,50,3.9318256327243257,1,2,1,0,1,1,52.0
8,30,3.4339872044851463,1,0,0,2,0,2,1.0986122886681098,1,2,2,2,2,40,3.713572066704308,1,1,5,0,2,2,108.0
4,20,3.044522437723423,1,2,0,6,0,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,75.0
5,10,2.3978952727983707,1,1,0,3,0,4,1.6094379124341003,1,1,4,4,4,40,3.713572066704308,1,1,5,0,2,2,56.0
8,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,25,3.258096538021482,0,1,4,5,1,0,38.0
8,16,2.833213344056216,1,1,1,2,6,4,1.6094379124341003,1,1,4,4,4,25,3.258096538021482,0,1,4,5,1,1,92.0
3,60,4.110873864173311,1,0,0,4,0,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,4,5,1,1,225.0
8,25,3.258096538021482,0,1,0,4,5,3,1.3862943611198906,0,0,3,3,3,40,3.713572066704308,1,1,5,0,1,0,115.0
9,60,4.110873864173311,1,0,0,4,0,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,3,0,2,2,474.0
0,56,4.04305126783455,1,2,1,0,6,4,1.6094379124341003,1,1,4,4,4,50,3.9318256327243257,1,2,1,0,2,1,308.0
2,26,3.295836866004329,1,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,1,0,1,0,117.0
9,40,3.713572066704308,1,1,0,5,0,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,3,0,5,3,276.0
0,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,20,3.044522437723423,1,2,6,0,5,2,102.0
