slot_buyer_name,slot_item_label,slot_currency_symbol,slot_unit_price,slot_unit_price_abs_log1p,slot_unit_price_mod3,slot_unit_price_mod5,slot_unit_price_mod7,slot_unit_price_mod10,slot_full_price_limit,slot_full_price_limit_abs_log1p,slot_full_price_limit_is_even,slot_full_price_limit_mod3,slot_full_price_limit_mod5,slot_full_price_limit_mod7,slot_full_price_limit_mod10,slot_for_self,slot_for_self_abs_log1p,slot_for_self_sign,slot_for_self_is_even,slot_for_self_mod3,slot_for_self_mod5,slot_for_self_mod7,slot_for_self_mod10,slot_spouse_count,slot_spouse_count_abs_log1p,slot_spouse_count_sign,slot_spouse_count_is_even,slot_spouse_count_mod3,slot_spouse_count_mod5,slot_spouse_count_mod7,slot_spouse_count_mod10,slot_kids_count,slot_kids_count_abs_log1p,slot_kids_count_sign,slot_kids_count_is_even,slot_kids_count_mod3,slot_kids_count_mod5,slot_kids_count_mod7,slot_kids_count_mod10,slot_others_count,slot_others_count_abs_log1p,slot_others_count_sign,slot_others_count_is_even,slot_others_count_mod3,slot_others_count_mod5,slot_others_count_mod7,slot_others_count_mod10,slot_others_label,n_multiple_pairs,y
0,0,0,1680,7.427144133408616,0,0,0,0,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,0,21,5880.0
1,1,1,842,6.736966958001855,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1,10,842.0
2,2,0,140,4.948759890378168,2,0,0,0,4,1.6094379124341003,1,1,4,4,4,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,2,12,560.0
3,3,2,884,6.785587645007929,2,4,2,4,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,3,15,1326.0
2,4,2,1418,7.257707677160043,2,3,4,8,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,1,18,4963.0
3,4,0,564,6.336825731146441,0,4,4,4,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,1,0,1,1,1,1,3,1.3862943611198906,1,0,0,3,3,3,4,19,1974.0
4,1,1,1732,7.457609289715606,1,2,3,2,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,1,4,4,4,2,1.0986122886681098,1,1,2,2,2,2,1,21,6928.0
2,4,0,1292,7.164720378771857,2,2,4,2,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,3,13,3230.0
5,2,0,1724,7.45298232946546,2,4,2,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,4,21,6896.0
2,3,0,1548,7.3453648404168685,0,3,1,8,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,2,12,5418.0
2,4,0,1804,7.498315870766981,1,4,5,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,0,12,7216.0
2,4,2,136,4.919980925828125,1,1,3,6,1,0.6931471805599453,0,1,1,1,1,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,0,0.0,0,1,0,0,0,0,1,12,408.0
6,0,0,1912,7.556427969440253,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,3,15,3824.0
2,0,1,1866,7.532088143541722,0,1,4,6,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,1,24,9330.0
0,1,2,446,6.102558594613569,2,1,5,6,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,1,20,2453.0
0,4,2,276,5.6240175061873385,0,1,3,6,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,2,1.0986122886681098,1,1,2,2,2,2,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,1,13,828.0
6,2,1,958,6.8658910748834385,1,3,6,8,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,0,22,4790.0
6,3,2,1390,7.237778191923443,1,0,4,0,2,1.0986122886681098,1,2,2,2,2,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,4,1.6094379124341003,1,1,1,4,4,4,3,1.3862943611198906,1,0,0,3,3,3,1,16,6950.0
1,3,0,304,5.720311776607412,1,4,3,4,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,3,1.3862943611198906,1,0,0,3,3,3,2,1.0986122886681098,1,1,2,2,2,2,4,23,1824.0
7,0,0,1404,7.247792581767846,0,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,0,28,3510.0
2,4,1,292,5.680172609017068,1,2,5,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,0,0.0,0,1,0,0,0,0,3,1.3862943611198906,1,0,0,3,3,3,1,15,1314.0
1,4,2,1672,7.422373700986824,1,2,6,2,3,1.3862943611198906,0,0,3,3,3,0,0.0,0,1,0,0,0,0,1,0.6931471805599453,1,0,1,1,1,1,2,1.0986122886681098,1,1,2,2,2,2,2,1.0986122886681098,1,1,2,2,2,2,4,17,6688.0
5,0,0,802,6.688354713946762,1,2,4,2,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,1,0,1,1,1,1,0,0.0,0,1,0,0,0,0,5,1.791759469228055,1,0,2,0,5,5,3,1.3862943611198906,1,0,0,3,3,3,4,16,4010.0
