slot_owner_a,slot_owner_b,slot_ref_count,slot_ref_count_abs_log1p,slot_ref_count_is_even,slot_ref_count_mod3,slot_ref_count_mod5,slot_ref_count_mod7,slot_ref_count_mod10,slot_numerator,slot_numerator_abs_log1p,slot_numerator_is_even,slot_numerator_mod3,slot_numerator_mod5,slot_numerator_mod7,slot_numerator_mod10,slot_denominator,slot_denominator_abs_log1p,slot_denominator_is_even,slot_denominator_mod3,slot_denominator_mod5,slot_denominator_mod7,slot_denominator_mod10,slot_offset,slot_offset_abs_log1p,slot_offset_is_even,slot_offset_mod3,slot_offset_mod5,slot_offset_mod7,slot_offset_mod10,gcd_all,n_multiple_pairs,y
0,0,36,3.6109179126442243,1,0,1,1,6,3,1.3862943611198906,0,0,3,3,3,12,2.5649493574615367,1,0,2,5,2,7,2.0794415416798357,0,1,2,0,7,1,3,52.0
1,1,36,3.6109179126442243,1,0,1,1,6,7,2.0794415416798357,0,1,2,0,7,9,2.302585092994046,0,0,4,2,9,17,2.8903717578961645,0,2,2,3,7,1,1,81.0
1,2,90,4.51085950651685,1,0,0,6,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,15,2.772588722239781,0,0,0,1,5,1,5,150.0
1,3,48,3.8918202981106265,1,0,3,6,8,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,6,61.0
2,3,87,4.477336814478207,0,0,2,3,7,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,3,1,169.0
3,1,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,1,1,24.0
4,4,75,4.330733340286331,0,0,0,5,5,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,1,1,148.0
3,5,84,4.442651256490317,1,0,4,0,4,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,29,3.4011973816621555,0,2,4,1,9,1,2,176.0
5,1,64,4.174387269895637,1,1,4,1,4,6,1.9459101490553132,1,0,1,6,6,8,2.1972245773362196,1,2,3,1,8,10,2.3978952727983707,1,1,0,3,0,2,1,122.0
0,4,88,4.48863636973214,1,1,3,4,8,10,2.3978952727983707,1,1,0,3,0,11,2.4849066497880004,0,2,1,4,1,17,2.8903717578961645,0,2,2,3,7,1,1,185.0
6,1,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,2,3,95.0
5,6,88,4.48863636973214,1,1,3,4,8,8,2.1972245773362196,1,2,3,1,8,11,2.4849066497880004,0,2,1,4,1,15,2.772588722239781,0,0,0,1,5,1,2,167.0
3,0,60,4.110873864173311,1,0,0,4,0,7,2.0794415416798357,0,1,2,0,7,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,1,1,126.0
7,0,45,3.828641396489095,0,0,0,3,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,15,2.772588722239781,0,0,0,1,5,1,5,87.0
1,4,60,4.110873864173311,1,0,0,4,0,1,0.6931471805599453,0,1,1,1,1,10,2.3978952727983707,1,1,0,3,0,23,3.1780538303479458,0,2,3,2,3,1,4,89.0
6,1,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,0,5,5,12,2.5649493574615367,1,0,2,5,2,14,2.70805020110221,1,2,4,0,4,1,2,99.0
6,4,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,19,2.995732273553991,0,1,4,5,9,1,1,39.0
7,3,33,3.5263605246161616,0,0,3,5,3,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,1,5,55.0
2,5,100,4.61512051684126,1,1,0,2,0,1,0.6931471805599453,0,1,1,1,1,4,1.6094379124341003,1,1,4,4,4,14,2.70805020110221,1,2,4,0,4,1,4,139.0
6,1,16,2.833213344056216,1,1,1,2,6,7,2.0794415416798357,0,1,2,0,7,8,2.1972245773362196,1,2,3,1,8,22,3.1354942159291497,1,1,2,1,2,1,1,52.0
0,1,12,2.5649493574615367,1,0,2,5,2,1,0.6931471805599453,0,1,1,1,1,12,2.5649493574615367,1,0,2,5,2,23,3.1780538303479458,0,2,3,2,3,1,4,36.0
6,7,30,3.4339872044851463,1,0,0,2,0,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,23,3.1780538303479458,0,2,3,2,3,1,4,63.0
3,4,34,3.5553480614894135,1,1,4,6,4,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,0,4,5,1,4,76.0
1,2,80,4.394449154672439,1,2,0,3,0,1,0.6931471805599453,0,1,1,1,1,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,1,6,92.0
0,5,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,19,2.995732273553991,0,1,4,5,9,1,2,127.0
0,4,52,3.970291913552122,1,1,2,3,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,19,2.995732273553991,0,1,4,5,9,1,1,110.0
8,4,10,2.3978952727983707,1,1,0,3,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,12,2.5649493574615367,1,0,2,5,2,1,5,27.0
1,8,96,4.574710978503383,1,0,1,5,6,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,12,2.5649493574615367,1,0,2,5,2,1,5,180.0
2,7,21,3.091042453358316,0,0,1,0,1,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,18,2.9444389791664403,1,0,3,4,8,1,2,57.0
4,2,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,10,2.3978952727983707,1,1,0,3,0,20,3.044522437723423,1,2,0,6,0,1,3,28.0
7,0,60,4.110873864173311,1,0,0,4,0,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,1,2,111.0
3,3,81,4.406719247264253,0,0,1,4,1,1,0.6931471805599453,0,1,1,1,1,9,2.302585092994046,0,0,4,2,9,11,2.4849066497880004,0,2,1,4,1,1,4,101.0
2,0,54,4.007333185232471,1,0,4,5,4,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,29,3.4011973816621555,0,2,4,1,9,1,2,110.0
5,0,60,4.110873864173311,1,0,0,4,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,13,2.6390573296152584,0,1,3,6,3,1,2,123.0
