slot_name,slot_item,slot_prep_rate,slot_prep_rate_abs_log1p,slot_prep_rate_is_even,slot_prep_rate_mod3,slot_prep_rate_mod5,slot_prep_rate_mod7,slot_prep_rate_mod10,slot_batch_capacity,slot_batch_capacity_abs_log1p,slot_batch_capacity_is_even,slot_batch_capacity_mod3,slot_batch_capacity_mod5,slot_batch_capacity_mod7,slot_batch_capacity_mod10,slot_batch_time,slot_batch_time_abs_log1p,slot_batch_time_is_even,slot_batch_time_mod3,slot_batch_time_mod5,slot_batch_time_mod7,slot_batch_time_mod10,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,gcd_all,n_multiple_pairs,y
0,0,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,0,6,0,9,2.302585092994046,0,0,4,2,9,160,5.081404364984463,1,1,0,6,0,1,3,112.0
0,1,20,3.044522437723423,1,2,0,6,0,25,3.258096538021482,0,1,0,4,5,9,2.302585092994046,0,0,4,2,9,100,4.61512051684126,1,1,0,2,0,1,2,41.0
1,2,20,3.044522437723423,1,2,0,6,0,20,3.044522437723423,1,2,0,6,0,26,3.295836866004329,1,2,1,5,6,40,3.713572066704308,1,1,0,5,0,2,3,54.0
2,1,6,1.9459101490553132,1,0,1,6,6,30,3.4339872044851463,1,0,0,2,0,5,1.791759469228055,0,2,0,5,5,180,5.198497031265826,1,0,0,5,0,1,5,60.0
3,3,12,2.5649493574615367,1,0,2,5,2,8,2.1972245773362196,1,2,3,1,8,18,2.9444389791664403,1,0,3,4,8,24,3.2188758248682006,1,0,4,3,4,2,2,56.0
3,3,3,1.3862943611198906,0,0,3,3,3,50,3.9318256327243257,1,2,0,1,0,6,1.9459101490553132,1,0,1,6,6,300,5.707110264748875,1,0,0,6,0,1,4,136.0
3,0,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,19,2.995732273553991,0,1,4,5,9,24,3.2188758248682006,1,0,4,3,4,1,3,42.0
0,4,24,3.2188758248682006,1,0,4,3,4,16,2.833213344056216,1,1,1,2,6,9,2.302585092994046,0,0,4,2,9,48,3.8918202981106265,1,0,3,6,8,1,2,29.0
4,3,14,2.70805020110221,1,2,4,0,4,50,3.9318256327243257,1,2,0,1,0,10,2.3978952727983707,1,1,0,3,0,350,5.860786223465865,1,2,0,0,0,2,4,95.0
2,5,8,2.1972245773362196,1,2,3,1,8,32,3.4965075614664802,1,2,2,4,2,19,2.995732273553991,0,1,4,5,9,224,5.41610040220442,1,2,4,0,4,1,3,161.0
5,6,2,1.0986122886681098,1,2,2,2,2,10,2.3978952727983707,1,1,0,3,0,24,3.2188758248682006,1,0,4,3,4,20,3.044522437723423,1,2,0,6,0,2,4,58.0
2,7,2,1.0986122886681098,1,2,2,2,2,16,2.833213344056216,1,1,1,2,6,17,2.8903717578961645,0,2,2,3,7,144,4.976733742420574,1,0,4,4,4,1,3,225.0
2,0,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,16,2.833213344056216,1,1,1,2,6,90,4.51085950651685,1,0,0,6,0,1,2,101.0
6,2,4,1.6094379124341003,1,1,4,4,4,36,3.6109179126442243,1,0,1,1,6,16,2.833213344056216,1,1,1,2,6,108,4.6913478822291435,1,0,3,3,8,4,4,75.0
6,6,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,20,3.044522437723423,1,2,0,6,0,1,2,78.0
0,3,2,1.0986122886681098,1,2,2,2,2,30,3.4339872044851463,1,0,0,2,0,16,2.833213344056216,1,1,1,2,6,270,5.602118820879701,1,0,0,4,0,2,4,279.0
7,1,27,3.332204510175204,0,0,2,6,7,18,2.9444389791664403,1,0,3,4,8,25,3.258096538021482,0,1,0,4,5,162,5.093750200806762,1,0,2,1,2,1,2,231.0
8,3,40,3.713572066704308,1,1,0,5,0,40,3.713572066704308,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,160,5.081404364984463,1,1,0,6,0,1,3,72.0
7,8,3,1.3862943611198906,0,0,3,3,3,24,3.2188758248682006,1,0,4,3,4,10,2.3978952727983707,1,1,0,3,0,96,4.574710978503383,1,0,1,5,6,1,3,72.0
4,5,25,3.258096538021482,0,1,0,4,5,5,1.791759469228055,0,2,0,5,5,28,3.367295829986474,1,1,3,0,8,25,3.258096538021482,0,1,0,4,5,1,3,141.0
4,2,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,11,2.4849066497880004,0,2,1,4,1,216,5.37989735354046,1,0,1,6,6,1,3,84.0
9,2,18,2.9444389791664403,1,0,3,4,8,32,3.4965075614664802,1,2,2,4,2,19,2.995732273553991,0,1,4,5,9,288,5.666426688112432,1,0,3,1,8,1,2,187.0
7,8,12,2.5649493574615367,1,0,2,5,2,36,3.6109179126442243,1,0,1,1,6,22,3.1354942159291497,1,1,2,1,2,108,4.6913478822291435,1,0,3,3,8,2,3,75.0
4,9,3,1.3862943611198906,0,0,3,3,3,8,2.1972245773362196,1,2,3,1,8,19,2.995732273553991,0,1,4,5,9,24,3.2188758248682006,1,0,4,3,4,1,2,65.0
3,2,18,2.9444389791664403,1,0,3,4,8,15,2.772588722239781,0,0,0,1,5,8,2.1972245773362196,1,2,3,1,8,90,4.51085950651685,1,0,0,6,0,1,2,53.0
9,8,15,2.772588722239781,0,0,0,1,5,5,1.791759469228055,0,2,0,5,5,28,3.367295829986474,1,1,3,0,8,45,3.828641396489095,0,0,0,3,5,1,3,255.0
10,9,18,2.9444389791664403,1,0,3,4,8,36,3.6109179126442243,1,0,1,1,6,11,2.4849066497880004,0,2,1,4,1,252,5.53338948872752,1,0,2,0,2,1,3,91.0
5,10,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,10,2.3978952727983707,1,1,0,3,0,5,4,51.0
11,5,5,1.791759469228055,0,2,0,5,5,40,3.713572066704308,1,1,0,5,0,20,3.044522437723423,1,2,0,6,0,320,5.771441123130016,1,2,0,5,0,5,6,224.0
0,5,16,2.833213344056216,1,1,1,2,6,32,3.4965075614664802,1,2,2,4,2,27,3.332204510175204,0,0,2,6,7,256,5.54907608489522,1,1,1,4,6,1,3,232.0
11,4,9,2.302585092994046,0,0,4,2,9,16,2.833213344056216,1,1,1,2,6,14,2.70805020110221,1,2,4,0,4,144,4.976733742420574,1,0,4,4,4,1,2,142.0
11,0,50,3.9318256327243257,1,2,0,1,0,50,3.9318256327243257,1,2,0,1,0,17,2.8903717578961645,0,2,2,3,7,250,5.5254529391317835,1,1,0,5,0,1,3,90.0
3,4,12,2.5649493574615367,1,0,2,5,2,40,3.713572066704308,1,1,0,5,0,17,2.8903717578961645,0,2,2,3,7,120,4.795790545596741,1,0,0,1,0,1,2,61.0
5,9,15,2.772588722239781,0,0,0,1,5,15,2.772588722239781,0,0,0,1,5,29,3.4011973816621555,0,2,4,1,9,105,4.663439094112067,0,0,0,0,5,1,3,210.0
2,4,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,19,2.995732273553991,0,1,4,5,9,72,4.290459441148391,1,0,2,2,2,1,3,75.0
3,4,20,3.044522437723423,1,2,0,6,0,40,3.713572066704308,1,1,0,5,0,29,3.4011973816621555,0,2,4,1,9,280,5.638354669333745,1,1,0,0,0,1,3,217.0
