slot_venue_name,slot_venue_capacity,slot_venue_capacity_abs_log1p,slot_venue_capacity_is_even,slot_venue_capacity_mod3,slot_venue_capacity_mod5,slot_venue_capacity_mod7,slot_venue_capacity_mod10,slot_num_participants,slot_num_participants_abs_log1p,slot_num_participants_is_even,slot_num_participants_mod3,slot_num_participants_mod5,slot_num_participants_mod7,slot_num_participants_mod10,slot_reserved_staff,slot_reserved_staff_abs_log1p,slot_reserved_staff_is_even,slot_reserved_staff_mod3,slot_reserved_staff_mod5,slot_reserved_staff_mod7,slot_reserved_staff_mod10,slot_group_term,slot_staff_term,gcd_all,n_multiple_pairs,y
0,22413,10.017441042611972,0,0,3,6,3,2732,7.913155185928068,1,2,2,2,2,557,6.324358962381311,0,2,2,4,7,0,0,1,0,7.0
1,15122,9.62397204275074,1,2,2,2,2,2387,7.778211474512493,0,2,2,0,7,800,6.68586094706836,1,2,0,2,0,1,1,1,0,5.0
2,20021,9.904586947979428,0,2,1,1,1,2792,7.934871565945177,1,2,2,6,2,477,6.169610732491456,0,0,2,1,7,0,2,1,0,6.0
3,17990,9.79762691183662,1,2,0,0,0,1464,7.289610521451167,1,0,4,1,4,1886,7.54274354536855,1,2,1,3,6,2,3,2,0,10.0
2,10044,9.214830277249035,1,0,4,6,4,1357,7.213768308118642,0,1,2,6,7,545,6.302618975744905,0,2,0,6,5,3,3,1,0,6.0
1,13224,9.4898642567265,1,0,4,1,4,1364,7.21890970761906,1,2,4,6,4,948,6.855408798609928,1,0,3,3,8,1,2,4,0,8.0
4,19937,9.90038273758265,0,2,2,1,7,2846,7.954021087278037,1,2,1,4,6,15,2.772588722239781,0,0,0,1,5,2,4,1,0,6.0
0,6332,8.753529336516431,1,2,2,4,2,1445,7.27655640271871,0,2,0,3,5,552,6.315358001522335,1,0,2,6,2,4,1,1,0,3.0
5,6963,8.848509300888079,0,0,3,5,3,511,6.238324625039508,0,1,1,0,1,831,6.723832440821209,0,0,1,5,1,5,0,1,0,11.0
3,7720,8.951699168308815,1,1,0,6,0,1011,6.919683849847411,0,0,1,3,1,643,6.467698726104354,0,1,3,6,3,0,5,1,0,6.0
