slot_buyer_name,slot_item,slot_currency_symbol,slot_initial_price,slot_initial_price_abs_log1p,slot_initial_price_mod3,slot_initial_price_mod7,slot_rate_percent,slot_rate_percent_abs_log1p,slot_rate_percent_is_even,slot_rate_percent_mod3,slot_rate_percent_mod5,slot_rate_percent_mod7,slot_rate_percent_mod10,slot_start_year,slot_start_year_abs_log1p,slot_start_year_is_even,slot_start_year_mod3,slot_start_year_mod5,slot_start_year_mod7,slot_start_year_mod10,slot_end_year,slot_end_year_abs_log1p,slot_end_year_is_even,slot_end_year_mod3,slot_end_year_mod5,slot_end_year_mod7,slot_end_year_mod10,gcd_all,n_multiple_pairs,y
0,0,0,67200,11.1154434073529,0,0,26,3.295836866004329,1,2,1,5,6,2020,7.611347717403621,1,1,0,4,0,2023,7.6128310304073565,0,1,3,0,3,1,0,14784.0
0,0,1,72400,11.189975390433117,1,6,17,2.8903717578961645,0,2,2,3,7,2001,7.601901959875166,0,0,1,6,1,2003,7.602900462204755,0,2,3,1,3,1,0,47784.0
1,1,1,11100,9.314790473332646,0,5,31,3.4657359027997265,0,1,1,3,1,2002,7.602401335665818,1,1,2,0,2,2003,7.602900462204755,0,2,3,1,3,1,0,7659.0
2,2,2,78800,11.274680966120778,2,1,20,3.044522437723423,1,2,0,6,0,2015,7.60887062919126,0,2,0,6,5,2019,7.61085279039525,0,0,4,3,9,1,1,15760.0
1,0,2,23600,10.069044362997353,2,3,9,2.302585092994046,0,0,4,2,9,2010,7.606387389772652,1,0,0,1,0,2013,7.607878073278507,0,0,3,4,3,1,0,17228.0
3,3,3,86200,11.364437057512568,1,2,9,2.302585092994046,0,0,4,2,9,2017,7.609862200913554,0,1,2,1,7,2022,7.612336837167746,1,0,2,6,2,1,0,47410.0
4,4,3,12800,9.45727857185611,2,4,17,2.8903717578961645,0,2,2,3,7,2006,7.604396348796338,1,2,1,4,6,2008,7.605392364814935,1,1,3,6,8,1,1,8448.0
3,5,0,34700,10.454523783963511,2,1,34,3.5553480614894135,1,1,4,6,4,2000,7.601402334583733,1,2,0,5,0,2001,7.601901959875166,0,0,1,6,1,1,0,22902.0
0,2,2,9200,9.127067452782361,2,2,5,1.791759469228055,0,2,0,5,5,2014,7.608374474380783,1,1,4,5,4,2021,7.611842399580417,0,2,1,5,1,1,1,5980.0
0,2,0,70900,11.16903981679311,1,4,14,2.70805020110221,1,2,4,0,4,2018,7.610357618312838,1,2,3,2,8,2022,7.612336837167746,1,0,2,6,2,2,0,31196.0
0,1,0,21900,9.994287576862567,0,4,15,2.772588722239781,0,0,0,1,5,2002,7.602401335665818,1,1,2,0,2,2004,7.60339933974067,1,0,4,2,4,1,1,15330.0
5,6,3,5900,8.682877107057168,2,6,6,1.9459101490553132,1,0,1,6,6,1998,7.6004023345004,1,0,3,3,8,2000,7.601402334583733,1,2,0,5,0,2,1,5192.0
6,0,0,75000,11.225256725762893,0,2,6,1.9459101490553132,1,0,1,6,6,2017,7.609862200913554,0,1,2,1,7,2023,7.6128310304073565,0,1,3,0,3,1,1,48000.0
2,7,0,9100,9.116139576577355,1,0,21,3.091042453358316,0,0,1,0,1,2009,7.605890001053122,0,2,4,0,9,2011,7.60688453121963,0,1,1,2,1,1,0,5278.0
7,0,2,89300,11.399767965010177,2,1,10,2.3978952727983707,1,1,0,3,0,2017,7.609862200913554,0,1,2,1,7,2025,7.613818684808629,0,0,0,2,5,1,1,17860.0
7,6,3,87800,11.382828169079987,2,6,16,2.833213344056216,1,1,1,2,6,2020,7.611347717403621,1,1,0,4,0,2025,7.613818684808629,0,0,0,2,5,1,0,17560.0
0,1,1,61400,11.02518140064756,2,3,34,3.5553480614894135,1,1,4,6,4,2009,7.605890001053122,0,2,4,0,9,2011,7.60688453121963,0,1,1,2,1,1,0,19648.0
0,7,0,97200,11.484536278461452,0,5,6,1.9459101490553132,1,0,1,6,6,2010,7.606387389772652,1,0,0,1,0,2018,7.610357618312838,1,2,3,2,8,2,2,50544.0
1,6,3,38200,10.5506169722625,1,1,11,2.4849066497880004,0,2,1,4,1,1995,7.59890045687141,0,0,0,0,5,1996,7.599401333415815,1,1,1,1,6,1,0,33998.0
3,1,3,90000,11.407576060361786,0,1,22,3.1354942159291497,1,1,2,1,2,2020,7.611347717403621,1,1,0,4,0,2024,7.613324979540639,1,2,4,1,4,2,1,10800.0
7,7,1,30400,10.322230781590136,1,6,19,2.995732273553991,0,1,4,5,9,2014,7.608374474380783,1,1,4,5,4,2016,7.6093665379542115,1,0,1,0,6,1,2,18848.0
3,0,0,16000,9.680406499268875,1,5,20,3.044522437723423,1,2,0,6,0,1999,7.600902459542082,0,1,4,4,9,2002,7.602401335665818,1,1,2,0,2,1,1,6400.0
5,7,3,71900,11.183045451818261,2,3,22,3.1354942159291497,1,1,2,1,2,1998,7.6004023345004,1,0,3,3,8,2000,7.601402334583733,1,2,0,5,0,2,0,40264.0
5,4,3,33900,10.431199791458543,0,6,32,3.4965075614664802,1,2,2,4,2,2020,7.611347717403621,1,1,0,4,0,2021,7.611842399580417,0,2,1,5,1,1,0,23052.0
7,5,3,30600,10.328787967145063,0,3,14,2.70805020110221,1,2,4,0,4,2001,7.601901959875166,0,0,1,6,1,2008,7.605392364814935,1,1,3,6,8,1,0,612.0
4,3,1,78200,11.267037714175425,2,3,16,2.833213344056216,1,1,1,2,6,2009,7.605890001053122,0,2,4,0,9,2011,7.60688453121963,0,1,1,2,1,1,0,53176.0
7,7,0,39000,10.571342565808699,0,3,7,2.0794415416798357,0,1,2,0,7,2008,7.605392364814935,1,1,3,6,8,2014,7.608374474380783,1,1,4,5,4,1,0,22620.0
4,7,3,63200,11.05407540279458,2,4,34,3.5553480614894135,1,1,4,6,4,2005,7.603897968521881,0,1,0,3,5,2006,7.604396348796338,1,2,1,4,6,1,1,41712.0
1,0,2,50800,10.835671318412196,1,1,23,3.1780538303479458,0,2,3,2,3,2000,7.601402334583733,1,2,0,5,0,2004,7.60339933974067,1,0,4,2,4,1,0,4064.0
0,3,1,21900,9.994287576862567,0,4,10,2.3978952727983707,1,1,0,3,0,2018,7.610357618312838,1,2,3,2,8,2023,7.6128310304073565,0,1,3,0,3,1,1,10950.0
0,1,1,45600,10.727684925086583,0,2,27,3.332204510175204,0,0,2,6,7,2001,7.601901959875166,0,0,1,6,1,2003,7.602900462204755,0,2,3,1,3,1,0,20976.0
1,3,0,5900,8.682877107057168,2,6,15,2.772588722239781,0,0,0,1,5,2008,7.605392364814935,1,1,3,6,8,2013,7.607878073278507,0,0,3,4,3,1,0,1475.0
2,1,0,93400,11.444657330797734,1,6,25,3.258096538021482,0,1,0,4,5,2003,7.602900462204755,0,2,3,1,3,2005,7.603897968521881,0,1,0,3,5,1,1,46700.0
7,6,2,15300,9.635673464721814,0,5,9,2.302585092994046,0,0,4,2,9,2007,7.60489448081162,0,0,2,5,7,2008,7.605392364814935,1,1,3,6,8,1,2,13923.0
4,0,1,81500,11.308370569092329,2,6,11,2.4849066497880004,0,2,1,4,1,2013,7.607878073278507,0,0,3,4,3,2019,7.61085279039525,0,0,4,3,9,1,1,27710.0
7,3,1,32900,10.401258331428318,2,0,34,3.5553480614894135,1,1,4,6,4,2014,7.608374474380783,1,1,4,5,4,2016,7.6093665379542115,1,0,1,0,6,2,0,10528.0
7,0,0,24600,10.110542371500753,0,2,27,3.332204510175204,0,0,2,6,7,2014,7.608374474380783,1,1,4,5,4,2015,7.60887062919126,0,2,0,6,5,1,0,17958.0
7,6,1,57700,10.96302978336854,1,6,27,3.332204510175204,0,0,2,6,7,2015,7.60887062919126,0,2,0,6,5,2017,7.609862200913554,0,1,2,1,7,1,0,26542.0
6,1,3,64200,11.06977406588073,0,3,27,3.332204510175204,0,0,2,6,7,2010,7.606387389772652,1,0,0,1,0,2011,7.60688453121963,0,1,1,2,1,1,0,46866.0
5,0,3,76800,11.248972939884327,0,3,10,2.3978952727983707,1,1,0,3,0,2001,7.601901959875166,0,0,1,6,1,2005,7.603897968521881,0,1,0,3,5,1,1,46080.0
2,1,0,5800,8.665785595466064,1,4,19,2.995732273553991,0,1,4,5,9,2001,7.601901959875166,0,0,1,6,1,2005,7.603897968521881,0,1,0,3,5,1,0,1392.0
1,7,0,24700,10.114599007626499,1,4,8,2.1972245773362196,1,2,3,1,8,2005,7.603897968521881,0,1,0,3,5,2009,7.605890001053122,0,2,4,0,9,1,0,16796.0
7,4,2,16700,9.723223876851618,2,5,26,3.295836866004329,1,2,1,5,6,2014,7.608374474380783,1,1,4,5,4,2016,7.6093665379542115,1,0,1,0,6,2,0,8016.0
0,6,3,33400,10.416341118636355,1,3,7,2.0794415416798357,0,1,2,0,7,2020,7.611347717403621,1,1,0,4,0,2029,7.615791072035833,0,1,4,6,9,1,0,12358.0
3,7,2,31900,10.370392636243981,1,1,16,2.833213344056216,1,1,1,2,6,2006,7.604396348796338,1,2,1,4,6,2009,7.605890001053122,0,2,4,0,9,1,0,16588.0
6,6,1,78000,11.264476926102367,0,6,17,2.8903717578961645,0,2,2,3,7,2007,7.60489448081162,0,0,2,5,7,2012,7.607381425639791,1,2,2,3,2,1,0,11700.0
1,7,0,34700,10.454523783963511,2,1,24,3.2188758248682006,1,0,4,3,4,2013,7.607878073278507,0,0,3,4,3,2016,7.6093665379542115,1,0,1,0,6,1,1,9716.0
7,0,1,54100,10.898607948952096,1,4,14,2.70805020110221,1,2,4,0,4,2005,7.603897968521881,0,1,0,3,5,2008,7.605392364814935,1,1,3,6,8,1,0,31378.0
2,7,1,37900,10.542732775946709,1,2,33,3.5263605246161616,0,0,3,5,3,2016,7.6093665379542115,1,0,1,0,6,2017,7.609862200913554,0,1,2,1,7,1,0,25393.0
3,6,1,16000,9.680406499268875,1,5,14,2.70805020110221,1,2,4,0,4,2006,7.604396348796338,1,2,1,4,6,2013,7.607878073278507,0,0,3,4,3,1,0,320.0
2,6,1,37800,10.540090836284206,0,0,9,2.302585092994046,0,0,4,2,9,2019,7.61085279039525,0,0,4,3,9,2023,7.6128310304073565,0,1,3,0,3,1,1,24192.0
3,1,3,24300,10.098272780745283,0,3,35,3.58351893845611,0,2,0,0,5,2007,7.60489448081162,0,0,2,5,7,2009,7.605890001053122,0,2,4,0,9,1,0,7290.0
5,6,3,38600,10.5610334618531,2,2,8,2.1972245773362196,1,2,3,1,8,2013,7.607878073278507,0,0,3,4,3,2023,7.6128310304073565,0,1,3,0,3,1,1,7720.0
5,4,3,54200,10.900454637442037,2,6,22,3.1354942159291497,1,1,2,1,2,2000,7.601402334583733,1,2,0,5,0,2001,7.601901959875166,0,0,1,6,1,1,0,42276.0
7,6,0,20700,9.937937287265354,0,1,13,2.6390573296152584,0,1,3,6,3,2003,7.602900462204755,0,2,3,1,3,2008,7.605392364814935,1,1,3,6,8,1,0,7245.0
5,7,2,75500,11.231901180182515,2,5,10,2.3978952727983707,1,1,0,3,0,2017,7.609862200913554,0,1,2,1,7,2023,7.6128310304073565,0,1,3,0,3,1,1,30200.0
0,0,2,15300,9.635673464721814,0,5,17,2.8903717578961645,0,2,2,3,7,2005,7.603897968521881,0,1,0,3,5,2006,7.604396348796338,1,2,1,4,6,1,2,12699.0
1,4,3,21600,9.980494888896912,0,5,18,2.9444389791664403,1,0,3,4,8,2020,7.611347717403621,1,1,0,4,0,2021,7.611842399580417,0,2,1,5,1,1,1,17712.0
1,3,2,22400,10.016860879703811,2,0,19,2.995732273553991,0,1,4,5,9,1998,7.6004023345004,1,0,3,3,8,2001,7.601901959875166,0,0,1,6,1,1,0,9632.0
0,3,2,20400,9.923339198238729,0,2,35,3.58351893845611,0,2,0,0,5,2001,7.601901959875166,0,0,1,6,1,2003,7.602900462204755,0,2,3,1,3,1,0,6120.0
4,7,2,11900,9.38437770918244,2,0,33,3.5263605246161616,0,0,3,5,3,2009,7.605890001053122,0,2,4,0,9,2010,7.606387389772652,1,0,0,1,0,1,0,7973.0
0,1,2,44800,10.709985739582528,1,0,30,3.4339872044851463,1,0,0,2,0,2000,7.601402334583733,1,2,0,5,0,2003,7.602900462204755,0,2,3,1,3,1,0,4480.0
6,7,0,34400,10.445840912706414,2,2,6,1.9459101490553132,1,0,1,6,6,2000,7.601402334583733,1,2,0,5,0,2010,7.606387389772652,1,0,0,1,0,2,1,13760.0
5,3,3,90700,11.415323661400773,1,1,24,3.2188758248682006,1,0,4,3,4,2003,7.602900462204755,0,2,3,1,3,2005,7.603897968521881,0,1,0,3,5,1,0,47164.0
2,4,1,56800,10.947309210188068,1,2,30,3.4339872044851463,1,0,0,2,0,2007,7.60489448081162,0,0,2,5,7,2010,7.606387389772652,1,0,0,1,0,1,1,5680.0
2,6,0,55700,10.92775337907558,2,1,23,3.1780538303479458,0,2,3,2,3,1999,7.600902459542082,0,1,4,4,9,2000,7.601402334583733,1,2,0,5,0,1,0,42889.0
4,5,0,62000,11.034905792929415,2,1,6,1.9459101490553132,1,0,1,6,6,2000,7.601402334583733,1,2,0,5,0,2009,7.605890001053122,0,2,4,0,9,1,1,28520.0
0,3,2,53700,10.891186902297498,0,3,12,2.5649493574615367,1,0,2,5,2,1998,7.6004023345004,1,0,3,3,8,2003,7.602900462204755,0,2,3,1,3,1,1,21480.0
4,7,3,8900,9.093918908958932,2,3,23,3.1780538303479458,0,2,3,2,3,2014,7.608374474380783,1,1,4,5,4,2016,7.6093665379542115,1,0,1,0,6,1,0,4806.0
0,0,0,88100,11.386239162597649,2,5,17,2.8903717578961645,0,2,2,3,7,2007,7.60489448081162,0,0,2,5,7,2009,7.605890001053122,0,2,4,0,9,1,0,58146.0
0,5,3,61400,11.02518140064756,2,3,24,3.2188758248682006,1,0,4,3,4,2010,7.606387389772652,1,0,0,1,0,2013,7.607878073278507,0,0,3,4,3,1,0,17192.0
1,5,3,89700,11.404237196256764,0,2,24,3.2188758248682006,1,0,4,3,4,2015,7.60887062919126,0,2,0,6,5,2019,7.61085279039525,0,0,4,3,9,1,0,3588.0
6,2,3,80900,11.300981463909618,2,1,21,3.091042453358316,0,0,1,0,1,2015,7.60887062919126,0,2,0,6,5,2016,7.6093665379542115,1,0,1,0,6,1,1,63911.0
3,7,3,92600,11.43605521971203,2,4,25,3.258096538021482,0,1,0,4,5,2008,7.605392364814935,1,1,3,6,8,2011,7.60688453121963,0,1,1,2,1,1,1,23150.0
2,4,1,27500,10.221977646629885,2,4,13,2.6390573296152584,0,1,3,6,3,2011,7.60688453121963,0,1,1,2,1,2013,7.607878073278507,0,0,3,4,3,1,0,20350.0
6,6,1,9400,9.148571345578551,1,6,14,2.70805020110221,1,2,4,0,4,2017,7.609862200913554,0,1,2,1,7,2021,7.611842399580417,0,2,1,5,1,1,0,4136.0
2,4,0,70100,11.157692338256169,2,2,5,1.791759469228055,0,2,0,5,5,2015,7.60887062919126,0,2,0,6,5,2023,7.6128310304073565,0,1,3,0,3,1,2,42060.0
5,3,0,64500,11.07443600653965,0,2,24,3.2188758248682006,1,0,4,3,4,2005,7.603897968521881,0,1,0,3,5,2006,7.604396348796338,1,2,1,4,6,1,0,49020.0
5,3,1,16600,9.717218213494077,1,3,32,3.4965075614664802,1,2,2,4,2,2002,7.602401335665818,1,1,2,0,2,2005,7.603897968521881,0,1,0,3,5,1,0,664.0
2,5,2,63900,11.065090289695444,0,4,26,3.295836866004329,1,2,1,5,6,2013,7.607878073278507,0,0,3,4,3,2015,7.60887062919126,0,2,0,6,5,1,0,30672.0
4,2,2,76500,11.245059091624615,0,4,23,3.1780538303479458,0,2,3,2,3,2007,7.60489448081162,0,0,2,5,7,2011,7.60688453121963,0,1,1,2,1,1,0,6120.0
6,0,0,63300,11.055656405795794,0,6,31,3.4657359027997265,0,1,1,3,1,2005,7.603897968521881,0,1,0,3,5,2007,7.60489448081162,0,0,2,5,7,1,0,24054.0
4,6,2,36000,10.491301994830229,0,6,13,2.6390573296152584,0,1,3,6,3,2000,7.601402334583733,1,2,0,5,0,2006,7.604396348796338,1,2,1,4,6,1,1,7920.0
0,0,1,96300,11.475233981948293,0,1,9,2.302585092994046,0,0,4,2,9,2002,7.602401335665818,1,1,2,0,2,2006,7.604396348796338,1,2,1,4,6,1,1,61632.0
6,2,3,87700,11.381688580803818,1,4,16,2.833213344056216,1,1,1,2,6,2006,7.604396348796338,1,2,1,4,6,2007,7.60489448081162,0,0,2,5,7,1,0,73668.0
0,0,3,73900,11.210481638644469,1,1,23,3.1780538303479458,0,2,3,2,3,2012,7.607381425639791,1,2,2,3,2,2014,7.608374474380783,1,1,4,5,4,1,0,39906.0
7,6,0,81500,11.308370569092329,2,6,28,3.367295829986474,1,1,3,0,8,2009,7.605890001053122,0,2,4,0,9,2012,7.607381425639791,1,2,2,3,2,1,0,13040.0
5,7,1,73500,11.205054290550551,0,0,11,2.4849066497880004,0,2,1,4,1,2015,7.60887062919126,0,2,0,6,5,2022,7.612336837167746,1,0,2,6,2,1,0,16905.0
5,6,2,94400,11.455306945297822,2,5,18,2.9444389791664403,1,0,3,4,8,2013,7.607878073278507,0,0,3,4,3,2014,7.608374474380783,1,1,4,5,4,1,0,77408.0
4,2,1,67500,11.119897691565697,0,6,30,3.4339872044851463,1,0,0,2,0,2000,7.601402334583733,1,2,0,5,0,2003,7.602900462204755,0,2,3,1,3,1,1,6750.0
6,4,0,84200,11.340962076644454,2,4,5,1.791759469228055,0,2,0,5,5,2004,7.60339933974067,1,0,4,2,4,2009,7.605890001053122,0,2,4,0,9,1,1,63150.0
5,1,2,88200,11.38737357979909,0,0,27,3.332204510175204,0,0,2,6,7,2006,7.604396348796338,1,2,1,4,6,2009,7.605890001053122,0,2,4,0,9,1,0,16758.0
3,6,1,61700,11.03005541721757,2,2,26,3.295836866004329,1,2,1,5,6,1998,7.6004023345004,1,0,3,3,8,2000,7.601402334583733,1,2,0,5,0,2,0,29616.0
7,3,2,63300,11.055656405795794,0,6,32,3.4965075614664802,1,2,2,4,2,1999,7.600902459542082,0,1,4,4,9,2002,7.602401335665818,1,1,2,0,2,1,0,2532.0
5,6,1,58000,10.968215530759236,1,5,34,3.5553480614894135,1,1,4,6,4,2018,7.610357618312838,1,2,3,2,8,2020,7.611347717403621,1,1,0,4,0,2,0,18560.0
0,6,2,9600,9.169622538697624,0,3,16,2.833213344056216,1,1,1,2,6,2000,7.601402334583733,1,2,0,5,0,2004,7.60339933974067,1,0,4,2,4,4,2,3456.0
3,3,3,20900,9.94755228369823,2,5,34,3.5553480614894135,1,1,4,6,4,2010,7.606387389772652,1,0,0,1,0,2012,7.607381425639791,1,2,2,3,2,2,0,6688.0
4,7,3,6700,8.81001204797317,1,1,27,3.332204510175204,0,0,2,6,7,2004,7.60339933974067,1,0,4,2,4,2006,7.604396348796338,1,2,1,4,6,1,0,3082.0
5,2,0,30300,10.318935994253193,0,4,19,2.995732273553991,0,1,4,5,9,2015,7.60887062919126,0,2,0,6,5,2019,7.61085279039525,0,0,4,3,9,1,0,7272.0
1,0,1,41300,10.628641991731053,2,0,11,2.4849066497880004,0,2,1,4,1,2010,7.606387389772652,1,0,0,1,0,2015,7.60887062919126,0,2,0,6,5,1,0,18585.0
4,3,1,45200,10.718874489469398,2,1,34,3.5553480614894135,1,1,4,6,4,2000,7.601402334583733,1,2,0,5,0,2002,7.602401335665818,1,1,2,0,2,2,0,14464.0
5,0,0,62700,11.046132675457146,0,1,16,2.833213344056216,1,1,1,2,6,2019,7.61085279039525,0,0,4,3,9,2022,7.612336837167746,1,0,2,6,2,1,0,32604.0
