slot_name,slot_daily_amount,slot_daily_amount_abs_log1p,slot_daily_amount_is_even,slot_daily_amount_mod3,slot_daily_amount_mod5,slot_daily_amount_mod7,slot_daily_amount_mod10,slot_small_unit,slot_per_large,slot_per_large_abs_log1p,slot_per_large_is_even,slot_per_large_mod3,slot_per_large_mod5,slot_per_large_mod7,slot_per_large_mod10,slot_large_unit,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,gcd_all,n_multiple_pairs,y
0,24,3.2188758248682006,1,0,4,3,4,0,20,3.044522437723423,1,2,0,6,0,0,15,2.772588722239781,0,0,0,1,5,1,0,18.0
1,13,2.6390573296152584,0,1,3,6,3,1,50,3.9318256327243257,1,2,0,1,0,1,250,5.5254529391317835,1,1,0,5,0,1,1,65.0
2,49,3.912023005428146,0,1,4,0,9,2,100,4.61512051684126,1,1,0,2,0,2,200,5.303304908059076,1,2,0,4,0,1,1,98.0
3,9,2.302585092994046,0,0,4,2,9,3,20,3.044522437723423,1,2,0,6,0,3,160,5.081404364984463,1,1,0,6,0,1,1,72.0
4,33,3.5263605246161616,0,0,3,5,3,4,12,2.5649493574615367,1,0,2,5,2,4,48,3.8918202981106265,1,0,3,6,8,3,1,132.0
0,20,3.044522437723423,1,2,0,6,0,2,200,5.303304908059076,1,2,0,4,0,2,300,5.707110264748875,1,0,0,6,0,20,2,30.0
5,3,1.3862943611198906,0,0,3,3,3,4,12,2.5649493574615367,1,0,2,5,2,4,288,5.666426688112432,1,0,3,1,8,3,3,72.0
5,28,3.367295829986474,1,1,3,0,8,2,100,4.61512051684126,1,1,0,2,0,2,200,5.303304908059076,1,2,0,4,0,4,1,56.0
4,13,2.6390573296152584,0,1,3,6,3,3,12,2.5649493574615367,1,0,2,5,2,3,24,3.2188758248682006,1,0,4,3,4,1,1,26.0
6,26,3.295836866004329,1,2,1,5,6,5,8,2.1972245773362196,1,2,3,1,8,5,36,3.6109179126442243,1,0,1,1,6,2,0,117.0
7,11,2.4849066497880004,0,2,1,4,1,5,16,2.833213344056216,1,1,1,2,6,5,80,4.394449154672439,1,2,0,3,0,1,1,55.0
