slot_person_name,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_food,slot_animal_plural,slot_animal_singular,slot_days,slot_days_abs_log1p,slot_days_is_even,slot_days_mod3,slot_days_mod5,slot_days_mod7,slot_days_mod10,slot_first_daily,slot_first_daily_abs_log1p,slot_first_daily_is_even,slot_first_daily_mod3,slot_first_daily_mod5,slot_first_daily_mod7,slot_first_daily_mod10,slot_delta,slot_delta_abs_log1p,slot_delta_is_even,slot_delta_mod3,slot_delta_mod5,slot_delta_mod7,slot_delta_mod10,gcd_all,n_multiple_pairs,y
0,270,5.602118820879701,1,0,0,4,0,0,0,0,9,2.302585092994046,0,0,4,2,9,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,1,2,2.0
1,684,6.529418838262226,1,0,4,5,4,1,1,1,9,2.302585092994046,0,0,4,2,9,24,3.2188758248682006,1,0,4,3,4,5,1.791759469228055,0,2,0,5,5,1,1,23.0
1,390,5.968707559985366,1,0,0,5,0,2,2,2,6,1.9459101490553132,1,0,1,6,6,19,2.995732273553991,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,1,2,17.0
2,396,5.983936280687191,1,0,1,4,6,1,1,1,6,1.9459101490553132,1,0,1,6,6,24,3.2188758248682006,1,0,4,3,4,9,2.302585092994046,0,0,4,2,9,3,3,9.0
3,350,5.860786223465865,1,2,0,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,25,3.258096538021482,0,1,0,4,5,9,2.302585092994046,0,0,4,2,9,1,3,11.0
2,427,6.059123195581797,0,1,2,0,7,4,4,4,7,2.0794415416798357,0,1,2,0,7,20,3.044522437723423,1,2,0,6,0,4,1.6094379124341003,1,1,4,4,4,1,2,17.0
4,336,5.820082930352362,1,0,1,0,6,5,5,5,7,2.0794415416798357,0,1,2,0,7,22,3.1354942159291497,1,1,2,1,2,1,0.6931471805599453,0,1,1,1,1,1,4,3.0
5,280,5.638354669333745,1,1,0,0,0,2,5,5,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,4,14.0
0,504,6.22455842927536,1,0,4,0,4,4,1,1,8,2.1972245773362196,1,2,3,1,8,16,2.833213344056216,1,1,1,2,6,8,2.1972245773362196,1,2,3,1,8,8,5,23.0
3,530,6.274762021241939,1,2,0,5,0,1,4,4,10,2.3978952727983707,1,1,0,3,0,14,2.70805020110221,1,2,4,0,4,12,2.5649493574615367,1,0,2,5,2,2,1,13.0
1,250,5.5254529391317835,1,1,0,5,0,6,2,2,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,3,9.0
1,255,5.545177444479562,0,0,0,3,5,5,1,1,5,1.791759469228055,0,2,0,5,5,13,2.6390573296152584,0,1,3,6,3,9,2.302585092994046,0,0,4,2,9,1,1,16.0
4,275,5.62040086571715,0,2,0,2,5,4,4,4,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,1,1,39.0
3,336,5.820082930352362,1,0,1,0,6,3,1,1,6,1.9459101490553132,1,0,1,6,6,17,2.8903717578961645,0,2,2,3,7,4,1.6094379124341003,1,1,4,4,4,1,2,18.0
1,486,6.18826412308259,1,0,1,3,6,4,6,6,9,2.302585092994046,0,0,4,2,9,23,3.1780538303479458,0,2,3,2,3,6,1.9459101490553132,1,0,1,6,6,1,2,2.0
0,234,5.459585514144159,1,0,4,3,4,7,3,3,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,10,2.3978952727983707,1,1,0,3,0,1,2,6.0
3,240,5.484796933490655,1,0,0,2,0,3,5,5,5,1.791759469228055,0,2,0,5,5,9,2.302585092994046,0,0,4,2,9,3,1.3862943611198906,0,0,3,3,3,1,3,27.0
3,240,5.484796933490655,1,0,0,2,0,5,1,1,6,1.9459101490553132,1,0,1,6,6,11,2.4849066497880004,0,2,1,4,1,10,2.3978952727983707,1,1,0,3,0,1,2,8.0
3,168,5.1298987149230735,1,0,3,0,8,6,5,5,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,4,12.0
6,357,5.8805329864007,0,0,2,0,7,8,3,3,7,2.0794415416798357,0,1,2,0,7,19,2.995732273553991,0,1,4,5,9,8,2.1972245773362196,1,2,3,1,8,1,1,5.0
6,306,5.726847747587197,1,0,1,5,6,8,4,4,9,2.302585092994046,0,0,4,2,9,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,2,15.0
2,296,5.6937321388027,1,2,1,2,6,4,1,1,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,1,1,12.0
7,455,6.1224928095143865,0,2,0,0,5,5,7,7,7,2.0794415416798357,0,1,2,0,7,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,1,31.0
7,392,5.973809611869261,1,2,2,0,2,2,6,6,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,1,26.0
7,315,5.755742213586912,0,0,0,0,5,2,0,0,5,1.791759469228055,0,2,0,5,5,11,2.4849066497880004,0,2,1,4,1,8,2.1972245773362196,1,2,3,1,8,1,1,33.0
7,450,6.111467339502679,1,0,0,2,0,2,3,3,6,1.9459101490553132,1,0,1,6,6,15,2.772588722239781,0,0,0,1,5,12,2.5649493574615367,1,0,2,5,2,3,3,33.0
2,400,5.993961427306569,1,1,0,1,0,6,5,5,5,1.791759469228055,0,2,0,5,5,17,2.8903717578961645,0,2,2,3,7,12,2.5649493574615367,1,0,2,5,2,1,1,34.0
