slot_person,slot_object,slot_place,slot_level_term,slot_floors,slot_floors_abs_log1p,slot_floors_is_even,slot_floors_mod3,slot_floors_mod5,slot_floors_mod7,slot_floors_mod10,slot_height_per_floor,slot_height_per_floor_abs_log1p,slot_height_per_floor_is_even,slot_height_per_floor_mod3,slot_height_per_floor_mod5,slot_height_per_floor_mod7,slot_height_per_floor_mod10,slot_unit,slot_ratio_numer,slot_ratio_numer_abs_log1p,slot_ratio_numer_is_even,slot_ratio_numer_mod3,slot_ratio_numer_mod5,slot_ratio_numer_mod7,slot_ratio_numer_mod10,slot_ratio_denom,slot_ratio_denom_abs_log1p,slot_ratio_denom_is_even,slot_ratio_denom_mod3,slot_ratio_denom_mod5,slot_ratio_denom_mod7,slot_ratio_denom_mod10,slot_bounce_count,slot_bounce_count_abs_log1p,slot_bounce_count_is_even,slot_bounce_count_mod3,slot_bounce_count_mod5,slot_bounce_count_mod7,slot_bounce_count_mod10,n_multiple_pairs,y
0,0,0,0,4,1.6094379124341003,1,1,4,4,4,100,4.61512051684126,1,1,0,2,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,7,256.0
1,1,1,1,4,1.6094379124341003,1,1,4,4,4,375,5.929589143389895,0,0,0,4,5,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,3,768.0
2,0,2,0,5,1.791759469228055,0,2,0,5,5,36,3.6109179126442243,1,0,1,1,6,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,6,120.0
3,1,1,2,4,1.6094379124341003,1,1,4,4,4,189,5.247024072160486,0,0,4,0,9,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,4,224.0
3,0,3,2,2,1.0986122886681098,1,2,2,2,2,64,4.174387269895637,1,1,4,1,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,7,16.0
4,1,3,0,2,1.0986122886681098,1,2,2,2,2,60,4.110873864173311,1,0,0,4,0,1,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,7,72.0
3,2,1,2,4,1.6094379124341003,1,1,4,4,4,30,3.4339872044851463,1,0,0,2,0,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,6,96.0
0,3,1,0,2,1.0986122886681098,1,2,2,2,2,75,4.330733340286331,0,0,0,5,5,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,96.0
3,3,0,2,2,1.0986122886681098,1,2,2,2,2,1000,6.90875477931522,1,1,0,6,0,0,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,4,1024.0
4,1,1,1,5,1.791759469228055,0,2,0,5,5,21,3.091042453358316,0,0,1,0,1,0,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,1,0.6931471805599453,0,1,1,1,1,5,70.0
