slot_seller,slot_item_plural,slot_container_singular,slot_container_plural,slot_bag_size,slot_bag_size_abs_log1p,slot_bag_size_is_even,slot_bag_size_mod3,slot_bag_size_mod5,slot_bag_size_mod7,slot_bag_size_mod10,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_price_per_container,slot_price_per_container_abs_log1p,slot_price_per_container_is_even,slot_price_per_container_mod3,slot_price_per_container_mod5,slot_price_per_container_mod7,slot_price_per_container_mod10,slot_currency_symbol,slot_timeframe,gcd_all,n_multiple_pairs,y
0,0,0,0,4,1.6094379124341003,1,1,4,4,4,1844,7.520234556474628,1,2,4,3,4,34,3.5553480614894135,1,1,4,6,4,0,0,2,1,15674.0
0,1,1,1,30,3.4339872044851463,1,0,0,2,0,19920,9.899529730681785,1,0,0,5,0,26,3.295836866004329,1,2,1,5,6,0,1,2,1,17264.0
0,2,1,1,2,1.0986122886681098,1,2,2,2,2,714,6.5722825426940075,1,0,4,0,4,14,2.70805020110221,1,2,4,0,4,1,2,2,3,4998.0
1,3,1,1,29,3.4011973816621555,0,2,4,1,9,14239,9.563810184965966,0,1,4,1,9,45,3.828641396489095,0,0,0,3,5,2,3,1,1,22095.0
0,4,2,2,5,1.791759469228055,0,2,0,5,5,145,4.983606621708336,0,1,0,5,5,35,3.58351893845611,0,2,0,0,5,3,4,5,2,1015.0
0,1,3,3,4,1.6094379124341003,1,1,4,4,4,2008,7.605392364814935,1,1,3,6,8,12,2.5649493574615367,1,0,2,5,2,1,0,4,2,6024.0
2,0,1,1,2,1.0986122886681098,1,2,2,2,2,920,6.825460036255307,1,2,0,3,0,3,1.3862943611198906,0,0,3,3,3,3,2,1,1,1380.0
3,1,3,3,27,3.332204510175204,0,0,2,6,7,9855,9.1958356857733,0,0,0,6,5,49,3.912023005428146,0,1,4,0,9,0,0,1,1,17885.0
4,4,4,4,10,2.3978952727983707,1,1,0,3,0,3940,8.279189777195004,1,1,0,6,0,40,3.713572066704308,1,1,0,5,0,3,5,10,2,15760.0
0,2,3,3,14,2.70805020110221,1,2,4,0,4,1974,7.5883236773352225,1,0,4,0,4,25,3.258096538021482,0,1,0,4,5,3,6,1,1,3525.0
4,0,4,4,11,2.4849066497880004,0,2,1,4,1,8668,9.06750872286864,1,1,3,2,8,21,3.091042453358316,0,0,1,0,1,0,4,1,1,16548.0
2,5,1,1,10,2.3978952727983707,1,1,0,3,0,1800,7.496097345175956,1,0,0,1,0,28,3.367295829986474,1,1,3,0,8,3,6,2,1,5040.0
3,4,5,5,13,2.6390573296152584,0,1,3,6,3,7644,8.941807118363164,1,0,4,0,4,45,3.828641396489095,0,0,0,3,5,1,1,1,1,26460.0
5,4,5,5,11,2.4849066497880004,0,2,1,4,1,748,6.618738983517219,1,1,3,6,8,14,2.70805020110221,1,2,4,0,4,0,6,1,1,952.0
1,6,0,0,9,2.302585092994046,0,0,4,2,9,5760,8.658866349732383,1,0,0,6,0,38,3.6635616461296463,1,2,3,3,8,2,6,1,1,24320.0
4,7,0,0,24,3.2188758248682006,1,0,4,3,4,2808,7.940583827104244,1,0,3,1,8,36,3.6109179126442243,1,0,1,1,6,1,6,12,2,4212.0
1,5,0,0,4,1.6094379124341003,1,1,4,4,4,1608,7.3833681469923835,1,0,3,5,8,5,1.791759469228055,0,2,0,5,5,0,4,1,1,2010.0
6,8,1,1,15,2.772588722239781,0,0,0,1,5,2685,7.895808377083183,0,0,0,4,5,46,3.8501476017100584,1,1,1,4,6,1,2,1,1,8234.0
2,9,1,1,30,3.4339872044851463,1,0,0,2,0,1020,6.928537818164665,1,0,0,5,0,15,2.772588722239781,0,0,0,1,5,3,0,15,3,510.0
0,7,5,5,16,2.833213344056216,1,1,1,2,6,5760,8.658866349732383,1,0,0,6,0,33,3.5263605246161616,0,0,3,5,3,2,4,1,1,11880.0
5,6,4,4,4,1.6094379124341003,1,1,4,4,4,2148,7.67275789664251,1,0,3,6,8,35,3.58351893845611,0,2,0,0,5,2,2,1,1,18795.0
1,6,5,5,11,2.4849066497880004,0,2,1,4,1,6996,8.853236764745898,1,0,1,3,6,45,3.828641396489095,0,0,0,3,5,1,5,1,1,28620.0
2,1,4,4,5,1.791759469228055,0,2,0,5,5,1020,6.928537818164665,1,0,0,5,0,21,3.091042453358316,0,0,1,0,1,3,3,1,1,4284.0
0,5,3,3,22,3.1354942159291497,1,1,2,1,2,4290,8.364275084991524,1,0,0,6,0,14,2.70805020110221,1,2,4,0,4,0,4,2,1,2730.0
1,9,4,4,2,1.0986122886681098,1,2,2,2,2,402,5.998936561946683,1,0,2,3,2,32,3.4965075614664802,1,2,2,4,2,1,2,2,2,6432.0
4,8,6,6,21,3.091042453358316,0,0,1,0,1,11592,9.358156746670401,1,0,2,0,2,28,3.367295829986474,1,1,3,0,8,3,5,7,2,15456.0
3,3,4,4,18,2.9444389791664403,1,0,3,4,8,10296,9.239607869656751,1,0,1,6,6,18,2.9444389791664403,1,0,3,4,8,0,1,18,3,10296.0
5,7,2,2,11,2.4849066497880004,0,2,1,4,1,946,6.853299093186078,1,1,1,1,6,45,3.828641396489095,0,0,0,3,5,3,6,1,1,3870.0
0,4,2,2,17,2.8903717578961645,0,2,2,3,7,9826,9.192888978362427,1,1,1,5,6,40,3.713572066704308,1,1,0,5,0,1,2,1,1,23120.0
0,1,0,0,28,3.367295829986474,1,1,3,0,8,19096,9.857286533635413,1,1,1,0,6,16,2.833213344056216,1,1,1,2,6,2,6,4,1,10912.0
6,9,5,5,22,3.1354942159291497,1,1,2,1,2,2442,7.8009820712577405,1,0,2,6,2,20,3.044522437723423,1,2,0,6,0,3,4,2,1,2220.0
1,2,3,3,23,3.1780538303479458,0,2,3,2,3,2047,7.6246189861593985,0,1,2,3,7,25,3.258096538021482,0,1,0,4,5,0,0,1,1,2225.0
0,6,2,2,12,2.5649493574615367,1,0,2,5,2,5064,8.530109416682784,1,0,4,3,4,21,3.091042453358316,0,0,1,0,1,0,2,3,1,8862.0
3,2,0,0,3,1.3862943611198906,0,0,3,3,3,717,6.576469569048224,0,0,2,3,7,22,3.1354942159291497,1,1,2,1,2,2,3,1,1,5258.0
3,4,6,6,23,3.1780538303479458,0,2,3,2,3,4646,8.443977129084978,1,2,1,5,6,44,3.8066624897703196,1,2,4,2,4,1,4,1,1,8888.0
4,8,5,5,27,3.332204510175204,0,0,2,6,7,16119,9.68781601606062,0,0,4,5,9,23,3.1780538303479458,0,2,3,2,3,1,6,1,1,13731.0
6,2,3,3,10,2.3978952727983707,1,1,0,3,0,570,6.3473892096560105,1,0,0,3,0,30,3.4339872044851463,1,0,0,2,0,2,0,10,3,1710.0
5,2,4,4,7,2.0794415416798357,0,1,2,0,7,3927,8.275885669474356,0,0,2,0,7,6,1.9459101490553132,1,0,1,6,6,3,4,1,1,3366.0
1,0,3,3,25,3.258096538021482,0,1,0,4,5,3025,8.014996894348302,0,1,0,1,5,40,3.713572066704308,1,1,0,5,0,1,2,5,1,4840.0
5,3,6,6,17,2.8903717578961645,0,2,2,3,7,187,5.236441962829949,0,1,2,5,7,14,2.70805020110221,1,2,4,0,4,0,1,1,1,154.0
1,3,3,3,6,1.9459101490553132,1,0,1,6,6,3888,8.265907334155747,1,0,3,3,8,8,2.1972245773362196,1,2,3,1,8,2,3,2,2,5184.0
5,7,1,1,30,3.4339872044851463,1,0,0,2,0,7920,8.97727273946428,1,0,0,3,0,48,3.8918202981106265,1,0,3,6,8,2,4,6,2,12672.0
1,0,2,2,16,2.833213344056216,1,1,1,2,6,4064,8.310169021981912,1,2,4,4,4,36,3.6109179126442243,1,0,1,1,6,0,5,4,1,9144.0
5,8,1,1,8,2.1972245773362196,1,2,3,1,8,1704,7.4413203897176174,1,0,4,3,4,1,0.6931471805599453,0,1,1,1,1,1,5,1,3,213.0
1,7,4,4,19,2.995732273553991,0,1,4,5,9,14668,9.593491702487762,1,1,3,3,8,2,1.0986122886681098,1,2,2,2,2,0,0,1,2,1544.0
2,1,3,3,20,3.044522437723423,1,2,0,6,0,6880,8.83651926920248,1,1,0,6,0,26,3.295836866004329,1,2,1,5,6,0,0,2,1,8944.0
1,1,5,5,9,2.302585092994046,0,0,4,2,9,6777,8.821437352166997,0,0,2,1,7,42,3.7612001156935624,1,0,2,0,2,1,0,3,1,31626.0
1,9,5,5,13,2.6390573296152584,0,1,3,6,3,10023,9.212737496575905,0,0,3,6,3,49,3.912023005428146,0,1,4,0,9,3,3,1,1,37779.0
0,9,2,2,16,2.833213344056216,1,1,1,2,6,976,6.884486652042782,1,1,1,3,6,49,3.912023005428146,0,1,4,0,9,0,2,1,1,2989.0
1,9,6,6,20,3.044522437723423,1,2,0,6,0,8840,9.087155271405804,1,2,0,6,0,24,3.2188758248682006,1,0,4,3,4,2,3,4,1,10608.0
3,3,0,0,13,2.6390573296152584,0,1,3,6,3,4849,8.48673398393153,0,1,4,5,9,10,2.3978952727983707,1,1,0,3,0,3,2,1,1,3730.0
0,7,5,5,3,1.3862943611198906,0,0,3,3,3,1089,6.993932975223189,0,0,4,4,9,6,1.9459101490553132,1,0,1,6,6,0,5,3,2,2178.0
0,4,1,1,9,2.302585092994046,0,0,4,2,9,3987,8.291045131081729,0,0,2,4,7,27,3.332204510175204,0,0,2,6,7,1,5,9,2,11961.0
5,4,5,5,30,3.4339872044851463,1,0,0,2,0,1710,7.444833273892193,1,0,0,2,0,30,3.4339872044851463,1,0,0,2,0,2,2,30,3,1710.0
3,3,5,5,6,1.9459101490553132,1,0,1,6,6,588,6.3784261836515865,1,0,3,0,8,34,3.5553480614894135,1,1,4,6,4,2,3,2,1,3332.0
6,2,3,3,22,3.1354942159291497,1,1,2,1,2,4466,8.404472321352118,1,2,1,0,6,35,3.58351893845611,0,2,0,0,5,0,1,1,1,7105.0
6,8,5,5,23,3.1780538303479458,0,2,3,2,3,12259,9.414097209490203,0,1,4,2,9,44,3.8066624897703196,1,2,4,2,4,3,3,1,1,23452.0
1,5,3,3,30,3.4339872044851463,1,0,0,2,0,20370,9.921867599817558,1,0,0,0,0,7,2.0794415416798357,0,1,2,0,7,1,1,1,2,4753.0
6,9,6,6,14,2.70805020110221,1,2,4,0,4,1862,7.529943370601589,1,2,2,0,2,21,3.091042453358316,0,0,1,0,1,3,3,7,1,2793.0
1,5,6,6,23,3.1780538303479458,0,2,3,2,3,17158,9.750278096285621,1,1,3,1,8,18,2.9444389791664403,1,0,3,4,8,1,4,1,1,13428.0
0,3,4,4,21,3.091042453358316,0,0,1,0,1,1113,7.01571242048723,0,0,3,0,3,48,3.8918202981106265,1,0,3,6,8,3,3,3,1,2544.0
1,3,5,5,24,3.2188758248682006,1,0,4,3,4,18096,9.803501457660202,1,0,1,1,6,44,3.8066624897703196,1,2,4,2,4,2,4,4,1,33176.0
6,5,0,0,2,1.0986122886681098,1,2,2,2,2,378,5.937536205082426,1,0,3,0,8,33,3.5263605246161616,0,0,3,5,3,3,4,1,1,6237.0
2,6,4,4,9,2.302585092994046,0,0,4,2,9,1278,7.153833801578843,1,0,3,4,8,13,2.6390573296152584,0,1,3,6,3,1,0,1,1,1846.0
6,2,6,6,22,3.1354942159291497,1,1,2,1,2,11704,9.367771379925012,1,1,4,0,4,18,2.9444389791664403,1,0,3,4,8,0,3,2,1,9576.0
4,4,1,1,27,3.332204510175204,0,0,2,6,7,16875,9.733647773244229,0,0,0,5,5,47,3.871201010907891,0,2,2,5,7,2,2,1,1,29375.0
0,5,3,3,20,3.044522437723423,1,2,0,6,0,8040,8.99230873254815,1,0,0,4,0,29,3.4011973816621555,0,2,4,1,9,3,3,1,1,11658.0
2,1,0,0,21,3.091042453358316,0,0,1,0,1,11571,9.356343666096025,0,0,1,0,1,16,2.833213344056216,1,1,1,2,6,2,2,1,1,8816.0
6,5,5,5,4,1.6094379124341003,1,1,4,4,4,2272,7.728855823852543,1,1,2,4,2,14,2.70805020110221,1,2,4,0,4,3,0,2,1,7952.0
4,9,5,5,19,2.995732273553991,0,1,4,5,9,6137,8.722254235179681,0,2,2,5,7,2,1.0986122886681098,1,2,2,2,2,1,2,1,1,646.0
3,8,4,4,8,2.1972245773362196,1,2,3,1,8,2200,7.696667081526462,1,1,0,2,0,45,3.828641396489095,0,0,0,3,5,2,6,1,1,12375.0
1,2,4,4,9,2.302585092994046,0,0,4,2,9,729,6.593044534142437,0,0,4,1,9,32,3.4965075614664802,1,2,2,4,2,1,5,1,1,2592.0
3,9,1,1,12,2.5649493574615367,1,0,2,5,2,348,5.855071922202427,1,0,3,5,8,45,3.828641396489095,0,0,0,3,5,3,1,3,1,1305.0
1,5,2,2,9,2.302585092994046,0,0,4,2,9,3510,8.163656176168432,1,0,0,3,0,25,3.258096538021482,0,1,0,4,5,3,3,1,1,9750.0
6,0,3,3,29,3.4011973816621555,0,2,4,1,9,5220,8.560444233410552,1,0,0,5,0,15,2.772588722239781,0,0,0,1,5,2,5,1,2,2700.0
4,0,4,4,16,2.833213344056216,1,1,1,2,6,10752,9.282940064390527,1,0,2,0,2,22,3.1354942159291497,1,1,2,1,2,1,4,2,1,14784.0
6,7,0,0,6,1.9459101490553132,1,0,1,6,6,1518,7.325807502595773,1,0,3,6,8,34,3.5553480614894135,1,1,4,6,4,2,3,2,1,8602.0
6,8,1,1,15,2.772588722239781,0,0,0,1,5,8055,8.994172434398399,0,0,0,5,5,29,3.4011973816621555,0,2,4,1,9,3,4,1,1,15573.0
6,2,3,3,22,3.1354942159291497,1,1,2,1,2,16346,9.701799673251209,1,2,1,1,6,11,2.4849066497880004,0,2,1,4,1,1,0,11,3,8173.0
1,9,5,5,19,2.995732273553991,0,1,4,5,9,627,6.4425401664681985,0,0,2,4,7,50,3.9318256327243257,1,2,0,1,0,1,0,1,1,1650.0
4,8,5,5,2,1.0986122886681098,1,2,2,2,2,450,6.111467339502679,1,0,0,2,0,35,3.58351893845611,0,2,0,0,5,0,1,1,1,7875.0
3,3,0,0,21,3.091042453358316,0,0,1,0,1,6930,8.843759381917984,1,0,0,0,0,38,3.6635616461296463,1,2,3,3,8,1,0,1,1,12540.0
5,7,4,4,22,3.1354942159291497,1,1,2,1,2,10824,9.28961355287069,1,0,4,2,4,30,3.4339872044851463,1,0,0,2,0,1,2,2,1,14760.0
3,6,2,2,28,3.367295829986474,1,1,3,0,8,19936,9.900332580842827,1,1,1,0,6,20,3.044522437723423,1,2,0,6,0,0,6,4,1,14240.0
2,0,6,6,28,3.367295829986474,1,1,3,0,8,8932,9.09750756370184,1,1,2,0,2,18,2.9444389791664403,1,0,3,4,8,1,2,2,1,5742.0
5,9,2,2,21,3.091042453358316,0,0,1,0,1,13734,9.527702598529375,1,0,4,0,4,16,2.833213344056216,1,1,1,2,6,0,0,1,1,10464.0
4,5,2,2,2,1.0986122886681098,1,2,2,2,2,794,6.678342114654332,1,2,4,3,4,12,2.5649493574615367,1,0,2,5,2,0,5,2,2,4764.0
