slot_pair_noun_plural,slot_start_place,slot_opposite_phrase,slot_fast_speed,slot_fast_speed_abs_log1p,slot_fast_speed_mod3,slot_fast_speed_mod7,slot_distance_unit,slot_ratio_num,slot_ratio_num_abs_log1p,slot_ratio_num_is_even,slot_ratio_num_mod3,slot_ratio_num_mod5,slot_ratio_num_mod7,slot_ratio_num_mod10,slot_ratio_den,slot_ratio_den_abs_log1p,slot_ratio_den_mod3,slot_ratio_den_mod5,slot_ratio_den_mod7,slot_ratio_den_mod10,slot_time_h,slot_time_h_abs_log1p,slot_time_h_is_even,slot_time_h_mod3,slot_time_h_mod5,slot_time_h_mod7,slot_time_h_mod10,gcd_all,n_multiple_pairs,y
0,0,0,50,3.9318256327243257,2,1,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,525.0
1,1,1,170,5.14166355650266,2,2,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,9,2.302585092994046,0,0,4,2,9,1,2,2295.0
2,1,1,140,4.948759890378168,2,0,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,5,1.791759469228055,0,2,0,5,5,1,3,1050.0
1,2,1,60,4.110873864173311,0,4,0,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,1,6,360.0
3,1,0,40,3.713572066704308,1,5,1,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,1,3,720.0
2,3,2,140,4.948759890378168,2,0,0,3,1.3862943611198906,0,0,3,3,3,6,1.9459101490553132,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,2,1050.0
4,4,3,70,4.2626798770413155,1,0,0,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,4,4,4,8,2.1972245773362196,1,2,3,1,8,2,4,840.0
3,4,0,100,4.61512051684126,1,2,0,4,1.6094379124341003,1,1,4,4,4,8,2.1972245773362196,2,3,1,8,6,1.9459101490553132,1,0,1,6,6,2,2,900.0
4,0,1,170,5.14166355650266,2,2,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,5,1530.0
4,0,1,120,4.795790545596741,0,1,1,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,2,2,2,2,7,2.0794415416798357,0,1,2,0,7,1,4,1260.0
