slot_initial_count,slot_initial_count_abs_log1p,slot_initial_count_mod3,slot_initial_count_mod7,slot_percent_increase,slot_percent_increase_abs_log1p,slot_percent_increase_is_even,slot_percent_increase_mod3,slot_percent_increase_mod7,slot_percent_increase_mod10,slot_program_name,slot_people_noun,slot_time_prev,slot_time_curr,gcd_all,n_multiple_pairs,y
380,5.942799375126701,2,2,20,3.044522437723423,1,2,6,0,0,0,0,0,20,1,456.0
440,6.089044875446846,2,6,60,4.110873864173311,1,0,4,0,1,0,1,1,20,0,704.0
100,4.61512051684126,1,2,45,3.828641396489095,0,0,3,5,2,1,2,2,5,0,145.0
360,5.8888779583328805,0,3,80,4.394449154672439,1,2,3,0,1,1,3,3,40,0,648.0
440,6.089044875446846,2,6,65,4.189654742026425,0,2,2,5,0,2,0,0,5,0,726.0
160,5.081404364984463,1,6,65,4.189654742026425,0,2,2,5,3,0,2,2,5,0,264.0
500,6.2166061010848646,2,3,10,2.3978952727983707,1,1,3,0,4,3,4,4,10,1,550.0
120,4.795790545596741,0,1,35,3.58351893845611,0,2,0,5,3,4,4,4,5,0,162.0
120,4.795790545596741,0,1,60,4.110873864173311,1,0,4,0,0,5,4,4,60,1,192.0
340,5.831882477283517,1,4,70,4.2626798770413155,1,1,0,0,5,3,3,3,10,0,578.0
60,4.110873864173311,0,4,50,3.9318256327243257,1,2,1,0,2,4,1,1,10,0,90.0
400,5.993961427306569,1,1,40,3.713572066704308,1,1,5,0,6,3,4,4,40,1,560.0
360,5.8888779583328805,0,3,30,3.4339872044851463,1,0,2,0,7,3,2,2,30,1,468.0
380,5.942799375126701,2,2,5,1.791759469228055,0,2,5,5,6,5,3,3,5,1,399.0
100,4.61512051684126,1,2,5,1.791759469228055,0,2,5,5,1,3,2,2,5,1,105.0
240,5.484796933490655,0,2,40,3.713572066704308,1,1,5,0,6,5,2,2,40,1,336.0
20,3.044522437723423,2,6,30,3.4339872044851463,1,0,2,0,5,0,0,0,10,0,26.0
80,4.394449154672439,2,3,20,3.044522437723423,1,2,6,0,7,2,3,3,20,1,96.0
340,5.831882477283517,1,4,50,3.9318256327243257,1,2,1,0,5,1,3,3,10,0,510.0
500,6.2166061010848646,2,3,70,4.2626798770413155,1,1,0,0,8,1,0,0,10,0,850.0
160,5.081404364984463,1,6,5,1.791759469228055,0,2,5,5,6,1,3,3,5,1,168.0
260,5.564520407322694,2,1,45,3.828641396489095,0,0,3,5,0,0,3,3,5,0,377.0
440,6.089044875446846,2,6,65,4.189654742026425,0,2,2,5,9,2,1,1,5,0,726.0
80,4.394449154672439,2,3,5,1.791759469228055,0,2,5,5,3,0,3,3,5,1,84.0
500,6.2166061010848646,2,3,15,2.772588722239781,0,0,1,5,9,1,3,3,5,0,575.0
280,5.638354669333745,1,0,60,4.110873864173311,1,0,4,0,2,1,4,4,20,0,448.0
20,3.044522437723423,2,6,25,3.258096538021482,0,1,4,5,3,1,4,4,5,0,25.0
260,5.564520407322694,2,1,55,4.02535169073515,0,1,6,5,6,2,2,2,5,0,403.0
380,5.942799375126701,2,2,75,4.330733340286331,0,0,5,5,3,4,2,2,5,0,665.0
260,5.564520407322694,2,1,80,4.394449154672439,1,2,3,0,6,5,2,2,20,0,468.0
80,4.394449154672439,2,3,30,3.4339872044851463,1,0,2,0,1,0,0,0,10,0,104.0
180,5.198497031265826,0,5,60,4.110873864173311,1,0,4,0,3,3,4,4,60,1,288.0
420,6.042632833682381,0,0,70,4.2626798770413155,1,1,0,0,6,0,1,1,70,1,714.0
500,6.2166061010848646,2,3,40,3.713572066704308,1,1,5,0,1,3,1,1,20,0,700.0
440,6.089044875446846,2,6,60,4.110873864173311,1,0,4,0,3,0,2,2,20,0,704.0
20,3.044522437723423,2,6,25,3.258096538021482,0,1,4,5,0,4,1,1,5,0,25.0
160,5.081404364984463,1,6,30,3.4339872044851463,1,0,2,0,2,0,4,4,10,0,208.0
400,5.993961427306569,1,1,25,3.258096538021482,0,1,4,5,1,2,1,1,25,1,500.0
300,5.707110264748875,0,6,5,1.791759469228055,0,2,5,5,9,2,1,1,5,1,315.0
280,5.638354669333745,1,0,30,3.4339872044851463,1,0,2,0,3,0,2,2,10,0,364.0
200,5.303304908059076,2,4,40,3.713572066704308,1,1,5,0,9,0,1,1,40,1,280.0
320,5.771441123130016,2,5,45,3.828641396489095,0,0,3,5,6,3,4,4,5,0,464.0
460,6.133398042996649,1,5,50,3.9318256327243257,1,2,1,0,4,4,1,1,10,0,690.0
80,4.394449154672439,2,3,10,2.3978952727983707,1,1,3,0,3,1,4,4,10,1,88.0
40,3.713572066704308,1,5,55,4.02535169073515,0,1,6,5,1,1,3,3,5,0,62.0
120,4.795790545596741,0,1,60,4.110873864173311,1,0,4,0,7,2,0,0,60,1,192.0
120,4.795790545596741,0,1,15,2.772588722239781,0,0,1,5,3,0,1,1,15,1,138.0
220,5.3981627015177525,1,3,40,3.713572066704308,1,1,5,0,6,4,0,0,20,0,308.0
160,5.081404364984463,1,6,65,4.189654742026425,0,2,2,5,8,1,1,1,5,0,264.0
300,5.707110264748875,0,6,10,2.3978952727983707,1,1,3,0,6,4,4,4,10,1,330.0
400,5.993961427306569,1,1,15,2.772588722239781,0,0,1,5,9,5,2,2,5,0,460.0
140,4.948759890378168,2,0,15,2.772588722239781,0,0,1,5,4,2,4,4,5,0,161.0
40,3.713572066704308,1,5,75,4.330733340286331,0,0,5,5,0,2,0,0,5,0,70.0
300,5.707110264748875,0,6,45,3.828641396489095,0,0,3,5,0,2,1,1,15,0,435.0
480,6.175867270105761,0,4,75,4.330733340286331,0,0,5,5,7,4,4,4,15,0,840.0
280,5.638354669333745,1,0,35,3.58351893845611,0,2,0,5,0,0,4,4,35,1,378.0
160,5.081404364984463,1,6,5,1.791759469228055,0,2,5,5,2,4,3,3,5,1,168.0
80,4.394449154672439,2,3,35,3.58351893845611,0,2,0,5,1,4,4,4,5,0,108.0
360,5.8888779583328805,0,3,60,4.110873864173311,1,0,4,0,1,0,1,1,60,1,576.0
20,3.044522437723423,2,6,45,3.828641396489095,0,0,3,5,3,4,2,2,5,0,29.0
220,5.3981627015177525,1,3,30,3.4339872044851463,1,0,2,0,2,5,1,1,10,0,286.0
60,4.110873864173311,0,4,60,4.110873864173311,1,0,4,0,8,2,0,0,60,1,96.0
320,5.771441123130016,2,5,10,2.3978952727983707,1,1,3,0,8,1,2,2,10,1,352.0
360,5.8888779583328805,0,3,25,3.258096538021482,0,1,4,5,9,0,3,3,5,0,450.0
20,3.044522437723423,2,6,25,3.258096538021482,0,1,4,5,2,2,3,3,5,0,25.0
420,6.042632833682381,0,0,65,4.189654742026425,0,2,2,5,0,3,0,0,5,0,693.0
120,4.795790545596741,0,1,75,4.330733340286331,0,0,5,5,6,4,2,2,15,0,210.0
260,5.564520407322694,2,1,75,4.330733340286331,0,0,5,5,1,3,0,0,5,0,455.0
80,4.394449154672439,2,3,70,4.2626798770413155,1,1,0,0,0,3,2,2,10,0,136.0
