slot_name_equal1,slot_name_equal2,slot_name_diff_more,slot_name_diff_less,slot_item_plural,slot_action_past,slot_total_count,slot_total_count_abs_log1p,slot_total_count_is_even,slot_total_count_mod3,slot_total_count_mod5,slot_total_count_mod7,slot_total_count_mod10,slot_pair_total,slot_pair_total_abs_log1p,slot_pair_total_is_even,slot_pair_total_mod3,slot_pair_total_mod5,slot_pair_total_mod7,slot_pair_total_mod10,slot_difference,slot_difference_abs_log1p,slot_difference_is_even,slot_difference_mod3,slot_difference_mod5,slot_difference_mod7,slot_difference_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,42,3.7612001156935624,1,0,2,0,2,36,3.6109179126442243,1,0,1,1,6,8,2.1972245773362196,1,2,3,1,8,2,0,19.0
1,1,1,1,1,1,85,4.454347296253507,0,1,0,1,5,67,4.219507705176107,0,1,2,4,7,19,2.995732273553991,0,1,4,5,9,1,0,34.0
2,2,0,2,2,2,48,3.8918202981106265,1,0,3,6,8,42,3.7612001156935624,1,0,2,0,2,20,3.044522437723423,1,2,0,6,0,2,0,28.0
3,3,2,3,2,2,112,4.727387818712341,1,1,2,0,2,56,4.04305126783455,1,2,1,0,6,8,2.1972245773362196,1,2,3,1,8,8,3,4.0
4,4,3,0,3,3,131,4.882801922586371,0,2,1,5,1,65,4.189654742026425,0,2,0,2,5,11,2.4849066497880004,0,2,1,4,1,1,0,5.0
5,5,4,2,4,4,116,4.762173934797756,1,2,1,4,6,60,4.110873864173311,1,0,0,4,0,14,2.70805020110221,1,2,4,0,4,2,0,9.0
1,6,5,0,0,0,63,4.1588830833596715,0,0,3,0,3,45,3.828641396489095,0,0,0,3,5,11,2.4849066497880004,0,2,1,4,1,1,0,19.0
0,7,6,4,0,0,81,4.406719247264253,0,0,1,4,1,63,4.1588830833596715,0,0,3,0,3,5,1.791759469228055,0,2,0,5,5,1,0,25.0
4,8,7,5,5,5,92,4.532599493153256,1,2,2,1,2,66,4.204692619390966,1,0,1,3,6,14,2.70805020110221,1,2,4,0,4,2,0,27.0
6,9,5,6,3,3,111,4.718498871295094,0,0,1,6,1,55,4.02535169073515,0,1,0,6,5,7,2.0794415416798357,0,1,2,0,7,1,0,3.0
6,10,5,7,0,0,70,4.2626798770413155,1,1,0,0,0,38,3.6635616461296463,1,2,3,3,8,10,2.3978952727983707,1,1,0,3,0,2,1,8.0
7,7,2,8,1,1,55,4.02535169073515,0,1,0,6,5,45,3.828641396489095,0,0,0,3,5,9,2.302585092994046,0,0,4,2,9,1,1,22.0
8,4,8,3,2,2,93,4.543294782270004,0,0,3,2,3,49,3.912023005428146,0,1,4,0,9,19,2.995732273553991,0,1,4,5,9,1,0,12.0
