slot_person_name,slot_total_items,slot_total_items_abs_log1p,slot_total_items_is_even,slot_total_items_mod3,slot_total_items_mod5,slot_total_items_mod7,slot_total_items_mod10,slot_group_size,slot_group_size_abs_log1p,slot_group_size_is_even,slot_group_size_mod3,slot_group_size_mod5,slot_group_size_mod7,slot_group_size_mod10,slot_container_singular,slot_container_plural,slot_item_singular,slot_item_plural,slot_box_weight_oz,slot_box_weight_oz_abs_log1p,slot_box_weight_oz_is_even,slot_box_weight_oz_mod3,slot_box_weight_oz_mod5,slot_box_weight_oz_mod7,slot_box_weight_oz_mod10,slot_item_weight_oz,slot_item_weight_oz_abs_log1p,slot_item_weight_oz_is_even,slot_item_weight_oz_mod3,slot_item_weight_oz_mod5,slot_item_weight_oz_mod7,slot_item_weight_oz_mod10,gcd_all,n_multiple_pairs,y
0,91,4.5217885770490405,0,1,1,0,1,7,2.0794415416798357,0,1,2,0,7,0,0,0,0,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,4,28.44
1,210,5.351858133476067,1,0,0,0,0,10,2.3978952727983707,1,1,0,3,0,0,0,1,1,12,2.5649493574615367,1,0,2,5,2,4,1.6094379124341003,1,1,4,4,4,2,3,68.25
2,440,6.089044875446846,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,1,1,2,2,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,3,127.5
3,80,4.394449154672439,1,2,0,3,0,2,1.0986122886681098,1,2,2,2,2,2,2,3,3,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,1,7,17.5
4,240,5.484796933490655,1,0,0,2,0,6,1.9459101490553132,1,0,1,6,6,3,3,1,1,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,4,82.5
0,185,5.225746673713202,0,2,0,3,5,5,1.791759469228055,0,2,0,5,5,4,4,1,1,16,2.833213344056216,1,1,1,2,6,3,1.3862943611198906,0,0,3,3,3,1,2,71.69
5,320,5.771441123130016,1,2,0,5,0,10,2.3978952727983707,1,1,0,3,0,5,5,4,4,14,2.70805020110221,1,2,4,0,4,5,1.791759469228055,0,2,0,5,5,1,4,128.0
4,21,3.091042453358316,0,0,1,0,1,3,1.3862943611198906,0,0,3,3,3,4,4,5,5,15,2.772588722239781,0,0,0,1,5,1,0.6931471805599453,0,1,1,1,1,1,6,7.88
1,62,4.143134726391533,1,2,2,6,2,2,1.0986122886681098,1,2,2,2,2,1,1,4,4,15,2.772588722239781,0,0,0,1,5,4,1.6094379124341003,1,1,4,4,4,1,4,44.56
6,348,5.855071922202427,1,0,3,5,8,12,2.5649493574615367,1,0,2,5,2,2,2,1,1,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,8,29.0
4,385,5.955837369464831,0,1,0,0,5,11,2.4849066497880004,0,2,1,4,1,6,6,3,3,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,1,2,161.88
7,261,5.568344503761097,0,0,1,2,1,9,2.302585092994046,0,0,4,2,9,5,5,6,6,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,2,90.62
5,250,5.5254529391317835,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,0,0,1,1,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,5,40.62
8,95,4.564348191467836,0,2,0,4,5,5,1.791759469228055,0,2,0,5,5,7,7,7,7,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,1,2,39.19
7,144,4.976733742420574,1,0,4,4,4,8,2.1972245773362196,1,2,3,1,8,7,7,5,5,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,1,4,50.62
1,38,3.6635616461296463,1,2,3,3,8,2,1.0986122886681098,1,2,2,2,2,8,8,8,8,19,2.995732273553991,0,1,4,5,9,2,1.0986122886681098,1,2,2,2,2,1,6,27.31
5,192,5.262690188904886,1,0,2,3,2,6,1.9459101490553132,1,0,1,6,6,4,4,5,5,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,1,5,70.0
4,152,5.030437921392435,1,2,2,5,2,8,2.1972245773362196,1,2,3,1,8,0,0,3,3,14,2.70805020110221,1,2,4,0,4,3,1.3862943611198906,0,0,3,3,3,1,2,45.12
9,18,2.9444389791664403,1,0,3,4,8,2,1.0986122886681098,1,2,2,2,2,6,6,1,1,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,4,9.0
9,156,5.056245805348308,1,0,1,2,6,12,2.5649493574615367,1,0,2,5,2,2,2,0,0,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,1,8,13.0
8,174,5.1647859739235145,1,0,4,6,4,6,1.9459101490553132,1,0,1,6,6,1,1,7,7,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,1,70.69
7,372,5.921578419643816,1,0,2,1,2,12,2.5649493574615367,1,0,2,5,2,2,2,0,0,19,2.995732273553991,0,1,4,5,9,5,1.791759469228055,0,2,0,5,5,1,1,153.06
1,111,4.718498871295094,0,0,1,6,1,3,1.3862943611198906,0,0,3,3,3,5,5,6,6,9,2.302585092994046,0,0,4,2,9,1,0.6931471805599453,0,1,1,1,1,1,6,27.75
7,253,5.537334267018537,0,1,3,1,3,11,2.4849066497880004,0,2,1,4,1,0,0,9,9,14,2.70805020110221,1,2,4,0,4,4,1.6094379124341003,1,1,4,4,4,1,2,83.38
2,125,4.836281906951478,0,2,0,6,5,5,1.791759469228055,0,2,0,5,5,0,0,1,1,23,3.1780538303479458,0,2,3,2,3,2,1.0986122886681098,1,2,2,2,2,1,2,51.56
7,80,4.394449154672439,1,2,0,3,0,2,1.0986122886681098,1,2,2,2,2,0,0,9,9,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,5,40.0
9,250,5.5254529391317835,1,1,0,5,0,10,2.3978952727983707,1,1,0,3,0,0,0,8,8,9,2.302585092994046,0,0,4,2,9,4,1.6094379124341003,1,1,4,4,4,1,2,76.56
1,138,4.9344739331306915,1,0,3,5,8,6,1.9459101490553132,1,0,1,6,6,5,5,9,9,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,4,31.62
6,160,5.081404364984463,1,1,0,6,0,10,2.3978952727983707,1,1,0,3,0,4,4,9,9,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,9,11.0
2,44,3.8066624897703196,1,2,4,2,4,2,1.0986122886681098,1,2,2,2,2,3,3,9,9,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,3,23.38
7,96,4.574710978503383,1,0,1,5,6,12,2.5649493574615367,1,0,2,5,2,5,5,8,8,16,2.833213344056216,1,1,1,2,6,5,1.791759469228055,0,2,0,5,5,1,4,38.0
1,147,4.997212273764115,0,0,2,0,7,7,2.0794415416798357,0,1,2,0,7,9,9,8,8,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,1,2,24.94
4,119,4.787491742782046,0,2,4,0,9,7,2.0794415416798357,0,1,2,0,7,2,2,8,8,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,4,34.0
6,189,5.247024072160486,0,0,4,0,9,9,2.302585092994046,0,0,4,2,9,2,2,6,6,14,2.70805020110221,1,2,4,0,4,1,0.6931471805599453,0,1,1,1,1,1,5,30.19
8,440,6.089044875446846,1,2,0,6,0,11,2.4849066497880004,0,2,1,4,1,3,3,4,4,21,3.091042453358316,0,0,1,0,1,2,1.0986122886681098,1,2,2,2,2,1,3,107.5
9,176,5.176149732573829,1,2,1,1,6,11,2.4849066497880004,0,2,1,4,1,6,6,3,3,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,1,4,62.0
9,115,4.7535901911063645,0,1,0,3,5,5,1.791759469228055,0,2,0,5,5,9,9,1,1,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,1,4,34.5
2,198,5.293304824724492,1,0,3,2,8,6,1.9459101490553132,1,0,1,6,6,7,7,2,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,7,37.12
