slot_group_a_label,slot_group_b_label,slot_ra,slot_ra_abs_log1p,slot_ra_is_even,slot_ra_mod3,slot_ra_mod5,slot_ra_mod7,slot_ra_mod10,slot_rb,slot_rb_abs_log1p,slot_rb_is_even,slot_rb_mod3,slot_rb_mod5,slot_rb_mod7,slot_rb_mod10,slot_total,slot_total_abs_log1p,slot_total_is_even,slot_total_mod3,slot_total_mod5,slot_total_mod7,slot_total_mod10,slot_b_leaves,slot_b_leaves_abs_log1p,slot_b_leaves_sign,slot_b_leaves_is_even,slot_b_leaves_mod3,slot_b_leaves_mod5,slot_b_leaves_mod7,slot_b_leaves_mod10,gcd_all,n_multiple_pairs,y
0,0,11,2.4849066497880004,0,2,1,4,1,9,2.302585092994046,0,0,4,2,9,780,6.660575149839686,1,0,0,3,0,162,5.093750200806762,1,1,0,2,1,2,1,1,189.0
1,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,162,5.093750200806762,1,0,2,1,2,0,0.0,0,1,0,0,0,0,2,2,54.0
2,2,3,1.3862943611198906,0,0,3,3,3,9,2.302585092994046,0,0,4,2,9,36,3.6109179126442243,1,0,1,1,6,14,2.70805020110221,1,1,2,4,0,4,1,3,13.0
1,1,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,135,4.912654885736052,0,0,0,2,5,28,3.367295829986474,1,1,1,3,0,8,1,2,32.0
1,1,11,2.4849066497880004,0,2,1,4,1,7,2.0794415416798357,0,1,2,0,7,504,6.22455842927536,1,0,4,0,4,82,4.418840607796598,1,1,1,2,5,2,1,1,114.0
1,1,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,112,4.727387818712341,1,1,2,0,2,73,4.30406509320417,1,0,1,3,3,3,1,3,23.0
3,3,1,0.6931471805599453,0,1,1,1,1,7,2.0794415416798357,0,1,2,0,7,248,5.517452896464707,1,2,3,3,8,204,5.3230099791384085,1,1,0,4,1,4,1,3,13.0
2,2,9,2.302585092994046,0,0,4,2,9,7,2.0794415416798357,0,1,2,0,7,160,5.081404364984463,1,1,0,6,0,53,3.9889840465642745,1,0,2,3,4,3,1,0,17.0
4,4,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,468,6.150602768446279,1,0,3,6,8,28,3.367295829986474,1,1,1,3,0,8,1,1,167.0
3,3,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,114,4.74493212836325,1,0,4,2,4,68,4.23410650459726,1,1,2,3,5,8,1,3,27.0
