slot_person_a,slot_person_b,slot_f1,slot_f1_abs_log1p,slot_f1_is_even,slot_f1_mod3,slot_f1_mod5,slot_f1_mod7,slot_f1_mod10,slot_d1,slot_d1_abs_log1p,slot_d1_is_even,slot_d1_mod3,slot_d1_mod5,slot_d1_mod7,slot_d1_mod10,slot_k,slot_k_abs_log1p,slot_k_is_even,slot_k_mod3,slot_k_mod5,slot_k_mod7,slot_k_mod10,slot_d2,slot_d2_abs_log1p,slot_d2_is_even,slot_d2_mod3,slot_d2_mod5,slot_d2_mod7,slot_d2_mod10,gcd_all,n_multiple_pairs,y
0,0,3,1.3862943611198906,0,0,3,3,3,28,3.367295829986474,1,1,3,0,8,2,1.0986122886681098,1,2,2,2,2,46,3.8501476017100584,1,1,1,4,6,1,2,8.0
0,0,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,21,3.091042453358316,0,0,1,0,1,1,2,30.0
1,1,5,1.791759469228055,0,2,0,5,5,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,29,3.4011973816621555,0,2,4,1,9,1,1,6.0
2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,1,2,14.0
1,3,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,3,1.3862943611198906,0,0,3,3,3,17,2.8903717578961645,0,2,2,3,7,1,4,15.0
0,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,17,2.8903717578961645,0,2,2,3,7,1,0,13.0
3,1,4,1.6094379124341003,1,1,4,4,4,10,2.3978952727983707,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,20,3.044522437723423,1,2,0,6,0,1,2,20.0
2,5,7,2.0794415416798357,0,1,2,0,7,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,1,1,5.0
4,6,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,11,2.4849066497880004,0,2,1,4,1,1,1,17.0
1,6,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,7,2.0794415416798357,0,1,2,0,7,1,1,18.0
4,2,8,2.1972245773362196,1,2,3,1,8,9,2.302585092994046,0,0,4,2,9,2,1.0986122886681098,1,2,2,2,2,54,4.007333185232471,1,0,4,5,4,1,3,6.0
5,5,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,20,3.044522437723423,1,2,0,6,0,1,2,7.0
0,4,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,4,11.0
6,3,5,1.791759469228055,0,2,0,5,5,18,2.9444389791664403,1,0,3,4,8,4,1.6094379124341003,1,1,4,4,4,24,3.2188758248682006,1,0,4,3,4,1,1,6.0
2,3,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,29,3.4011973816621555,0,2,4,1,9,1,1,11.0
7,7,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,23,3.1780538303479458,0,2,3,2,3,1,2,7.0
8,8,8,2.1972245773362196,1,2,3,1,8,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,1,1,5.0
2,4,8,2.1972245773362196,1,2,3,1,8,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,50,3.9318256327243257,1,2,0,1,0,2,4,6.0
4,0,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,25,3.258096538021482,0,1,0,4,5,1,1,35.0
4,7,3,1.3862943611198906,0,0,3,3,3,7,2.0794415416798357,0,1,2,0,7,2,1.0986122886681098,1,2,2,2,2,27,3.332204510175204,0,0,2,6,7,1,1,33.0
