slot_person_name,slot_color_a,slot_color_b,slot_container_singular,slot_container_plural,slot_item_plural,slot_packs_a,slot_packs_a_abs_log1p,slot_packs_a_is_even,slot_packs_a_mod3,slot_packs_a_mod5,slot_packs_a_mod7,slot_packs_a_mod10,slot_items_per_container,slot_items_per_container_abs_log1p,slot_items_per_container_is_even,slot_items_per_container_mod3,slot_items_per_container_mod5,slot_items_per_container_mod7,slot_items_per_container_mod10,slot_ratio_b_per_a,slot_ratio_b_per_a_abs_log1p,slot_ratio_b_per_a_is_even,slot_ratio_b_per_a_mod3,slot_ratio_b_per_a_mod5,slot_ratio_b_per_a_mod7,slot_ratio_b_per_a_mod10,gcd_all,n_multiple_pairs,y
0,0,0,0,0,0,6,1.9459101490553132,1,0,1,6,6,9,2.302585092994046,0,0,4,2,9,5,1.791759469228055,0,2,0,5,5,1,0,324.0
1,1,0,1,1,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,1,1,120.0
2,0,1,2,2,1,10,2.3978952727983707,1,1,0,3,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,250.0
2,2,2,3,3,2,11,2.4849066497880004,0,2,1,4,1,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,1,0,176.0
2,0,3,0,0,1,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,2,1.0986122886681098,1,2,2,2,2,1,1,132.0
3,3,0,4,4,1,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,1,100.0
4,2,4,4,4,0,8,2.1972245773362196,1,2,3,1,8,3,1.3862943611198906,0,0,3,3,3,3,1.3862943611198906,0,0,3,3,3,1,1,96.0
1,0,0,3,3,0,4,1.6094379124341003,1,1,4,4,4,11,2.4849066497880004,0,2,1,4,1,3,1.3862943611198906,0,0,3,3,3,1,0,176.0
1,1,4,1,1,2,6,1.9459101490553132,1,0,1,6,6,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,1,0,210.0
5,3,0,4,4,2,6,1.9459101490553132,1,0,1,6,6,12,2.5649493574615367,1,0,2,5,2,3,1.3862943611198906,0,0,3,3,3,3,3,288.0
