slot_base_price,slot_base_price_abs_log1p,slot_base_price_is_even,slot_base_price_mod3,slot_base_price_mod7,slot_base_price_mod10,slot_inc_pct,slot_inc_pct_abs_log1p,slot_inc_pct_is_even,slot_inc_pct_mod3,slot_inc_pct_mod7,slot_inc_pct_mod10,slot_dec_pct,slot_dec_pct_abs_log1p,slot_dec_pct_is_even,slot_dec_pct_mod3,slot_dec_pct_mod7,slot_dec_pct_mod10,slot_currency,slot_item,slot_month1,slot_month2,slot_month3,gcd_all,n_multiple_pairs,y
145,4.983606621708336,0,1,5,5,80,4.394449154672439,1,2,3,0,60,4.110873864173311,1,0,4,0,0,0,0,0,0,5,0,104.4
145,4.983606621708336,0,1,5,5,5,1.791759469228055,0,2,5,5,75,4.330733340286331,0,0,5,5,1,1,0,0,1,5,2,38.06
465,6.144185634125646,0,0,3,5,30,3.4339872044851463,1,0,2,0,70,4.2626798770413155,1,1,0,0,1,2,1,1,2,5,0,181.35
225,5.420534999272286,0,0,1,5,15,2.772588722239781,0,0,1,5,25,3.258096538021482,0,1,4,5,1,3,2,2,3,5,2,194.06
390,5.968707559985366,1,0,5,0,120,4.795790545596741,1,0,1,0,40,3.713572066704308,1,1,5,0,1,4,3,2,4,10,1,514.8
220,5.3981627015177525,1,1,3,0,30,3.4339872044851463,1,0,2,0,5,1.791759469228055,0,2,5,5,2,5,4,3,4,5,2,271.7
220,5.3981627015177525,1,1,3,0,25,3.258096538021482,0,1,4,5,20,3.044522437723423,1,2,6,0,0,6,5,4,3,5,1,220.0
175,5.170483995038151,0,1,0,5,5,1.791759469228055,0,2,5,5,60,4.110873864173311,1,0,4,0,2,3,1,1,2,5,2,73.5
430,6.066108090103747,1,1,3,0,15,2.772588722239781,0,0,1,5,45,3.828641396489095,0,0,3,5,2,7,6,3,5,5,1,271.97
295,5.69035945432406,0,1,1,5,5,1.791759469228055,0,2,5,5,55,4.02535169073515,0,1,6,5,0,2,7,5,6,5,2,139.39
170,5.14166355650266,1,2,2,0,70,4.2626798770413155,1,1,0,0,80,4.394449154672439,1,2,3,0,3,4,8,6,6,10,0,57.8
