slot_person_name,slot_service_name,slot_period_label,slot_num_periods,slot_num_periods_abs_log1p,slot_num_periods_is_even,slot_num_periods_mod3,slot_num_periods_mod5,slot_num_periods_mod7,slot_num_periods_mod10,slot_qty1,slot_qty1_abs_log1p,slot_qty1_is_even,slot_qty1_mod3,slot_qty1_mod5,slot_qty1_mod7,slot_qty1_mod10,slot_qty2,slot_qty2_abs_log1p,slot_qty2_is_even,slot_qty2_mod3,slot_qty2_mod5,slot_qty2_mod7,slot_qty2_mod10,slot_qty3,slot_qty3_abs_log1p,slot_qty3_is_even,slot_qty3_mod3,slot_qty3_mod5,slot_qty3_mod7,slot_qty3_mod10,slot_pricing_unit1,slot_pricing_unit2,slot_pricing_unit3,slot_count_unit1,slot_count_unit2,slot_count_unit3,slot_price1,slot_price1_abs_log1p,slot_price2,slot_price2_abs_log1p,slot_price3,slot_price3_abs_log1p,slot_currency_symbol,gcd_all,n_multiple_pairs,y
0,0,0,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,4,1.6094379124341003,1,1,4,4,4,3,1.3862943611198906,0,0,3,3,3,0,0,0,0,0,0,12.0,2.5649493574615367,12.0,2.5649493574615367,19.0,2.995732273553991,0,1,1,765.0
1,1,1,7,2.0794415416798357,0,1,2,0,7,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,1,1,1,1,1,1,9.0,2.302585092994046,4.0,1.6094379124341003,8.0,2.1972245773362196,0,1,3,371.0
2,2,2,6,1.9459101490553132,1,0,1,6,6,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,2,1.0986122886681098,1,2,2,2,2,1,2,0,1,2,0,14.0,2.70805020110221,12.0,2.5649493574615367,19.0,2.995732273553991,0,1,4,720.0
3,2,0,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,3,2,2,3,2,8.0,2.1972245773362196,5.0,1.791759469228055,19.0,2.995732273553991,1,1,5,480.0
0,3,2,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,1,0.6931471805599453,0,1,1,1,1,3,4,3,3,4,3,11.0,2.4849066497880004,19.0,2.995732273553991,10.0,2.3978952727983707,1,1,6,876.0
4,3,0,7,2.0794415416798357,0,1,2,0,7,4,1.6094379124341003,1,1,4,4,4,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,4,5,4,4,5,4,14.0,2.70805020110221,16.0,2.833213344056216,19.0,2.995732273553991,0,1,1,1862.0
5,0,2,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,5,1,5,5,1,5,9.0,2.302585092994046,19.0,2.995732273553991,16.0,2.833213344056216,0,1,4,274.0
5,3,1,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,1,0.6931471805599453,0,1,1,1,1,3,4,6,3,4,6,17.0,2.8903717578961645,13.0,2.6390573296152584,18.0,2.9444389791664403,0,1,4,670.0
3,1,0,7,2.0794415416798357,0,1,2,0,7,6,1.9459101490553132,1,0,1,6,6,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,5,6,7,5,6,7,13.0,2.6390573296152584,11.0,2.4849066497880004,11.0,2.4849066497880004,0,1,3,854.0
1,0,0,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,3,1.3862943611198906,0,0,3,3,3,5,1.791759469228055,0,2,0,5,5,0,3,8,0,3,8,19.0,2.995732273553991,15.0,2.772588722239781,19.0,2.995732273553991,2,1,2,1270.0
6,4,2,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,0.6931471805599453,0,1,1,1,1,6,0,2,6,0,2,15.0,2.772588722239781,8.0,2.1972245773362196,12.0,2.5649493574615367,0,1,4,174.0
6,4,0,5,1.791759469228055,0,2,0,5,5,3,1.3862943611198906,0,0,3,3,3,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,0,7,1,0,7,1,14.0,2.70805020110221,7.0,2.0794415416798357,7.0,2.0794415416798357,2,1,1,350.0
0,2,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1.6094379124341003,1,1,4,4,4,5,1.791759469228055,0,2,0,5,5,7,8,4,7,8,4,9.0,2.302585092994046,10.0,2.3978952727983707,4.0,1.6094379124341003,2,1,2,390.0
5,0,1,8,2.1972245773362196,1,2,3,1,8,2,1.0986122886681098,1,2,2,2,2,3,1.3862943611198906,0,0,3,3,3,4,1.6094379124341003,1,1,4,4,4,8,9,8,8,9,8,14.0,2.70805020110221,17.0,2.8903717578961645,11.0,2.4849066497880004,1,1,3,984.0
3,1,0,4,1.6094379124341003,1,1,4,4,4,1,0.6931471805599453,0,1,1,1,1,5,1.791759469228055,0,2,0,5,5,6,1.9459101490553132,1,0,1,6,6,1,5,2,1,5,2,4.0,1.6094379124341003,12.0,2.5649493574615367,16.0,2.833213344056216,2,1,3,640.0
1,4,1,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,2,9,5,2,9,5,3.0,1.3862943611198906,17.0,2.8903717578961645,12.0,2.5649493574615367,0,2,4,720.0
4,0,2,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,6,1.9459101490553132,1,0,1,6,6,6,1.9459101490553132,1,0,1,6,6,0,10,0,0,10,0,19.0,2.995732273553991,18.0,2.9444389791664403,6.0,1.9459101490553132,0,2,6,364.0
4,3,2,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,6,9,7,6,9,7,12.0,2.5649493574615367,13.0,2.6390573296152584,8.0,2.1972245773362196,2,1,3,645.0
6,4,2,6,1.9459101490553132,1,0,1,6,6,4,1.6094379124341003,1,1,4,4,4,2,1.0986122886681098,1,2,2,2,2,2,1.0986122886681098,1,2,2,2,2,1,8,9,1,8,9,8.0,2.1972245773362196,20.0,3.044522437723423,6.0,1.9459101490553132,1,2,5,504.0
4,3,0,7,2.0794415416798357,0,1,2,0,7,5,1.791759469228055,0,2,0,5,5,5,1.791759469228055,0,2,0,5,5,2,1.0986122886681098,1,2,2,2,2,4,1,6,4,1,6,12.0,2.5649493574615367,4.0,1.6094379124341003,10.0,2.3978952727983707,0,1,1,700.0
5,4,2,8,2.1972245773362196,1,2,3,1,8,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,1,0.6931471805599453,0,1,1,1,1,9,3,7,9,3,7,16.0,2.833213344056216,10.0,2.3978952727983707,6.0,1.9459101490553132,2,1,6,256.0
