slot_owner,slot_item,slot_currency_symbol,slot_initial_price,slot_initial_price_abs_log1p,slot_initial_price_mod3,slot_initial_price_mod7,slot_rate1,slot_rate1_abs_log1p,slot_rate1_is_even,slot_rate1_mod3,slot_rate1_mod5,slot_rate1_mod7,slot_rate1_mod10,slot_rate2,slot_rate2_abs_log1p,slot_rate2_is_even,slot_rate2_mod3,slot_rate2_mod5,slot_rate2_mod7,slot_rate2_mod10,slot_rate3,slot_rate3_abs_log1p,slot_rate3_is_even,slot_rate3_mod3,slot_rate3_mod5,slot_rate3_mod7,slot_rate3_mod10,gcd_all,n_multiple_pairs,y
0,0,0,6600,8.79497643168877,0,6,16,2.833213344056216,1,1,1,2,6,39,3.6888794541139363,0,0,4,4,9,31,3.4657359027997265,0,1,1,3,1,1,0,2333.47
1,1,1,13200,9.488047863280759,0,5,44,3.8066624897703196,1,2,4,2,4,26,3.295836866004329,1,2,1,5,6,38,3.6635616461296463,1,2,3,3,8,2,1,3391.45
2,0,1,2800,7.937731775260109,1,0,16,2.833213344056216,1,1,1,2,6,43,3.784189633918261,0,1,3,1,3,25,3.258096538021482,0,1,0,4,5,1,2,1005.48
3,2,2,19100,9.857495968685136,2,4,39,3.6888794541139363,0,0,4,4,9,30,3.4339872044851463,1,0,0,2,0,18,2.9444389791664403,1,0,3,4,8,1,0,6687.67
3,3,1,2000,7.601402334583733,2,5,11,2.4849066497880004,0,2,1,4,1,35,3.58351893845611,0,2,0,0,5,7,2.0794415416798357,0,1,2,0,7,1,1,1076.01
4,1,1,6000,8.699681400989514,0,1,43,3.784189633918261,0,1,3,1,3,16,2.833213344056216,1,1,1,2,6,34,3.5553480614894135,1,1,4,6,4,1,1,1896.05
2,4,3,3900,8.268988209506656,0,1,42,3.7612001156935624,1,0,2,0,2,12,2.5649493574615367,1,0,2,5,2,26,3.295836866004329,1,2,1,5,6,2,2,1473.01
2,2,4,18500,9.825580063659602,2,6,11,2.4849066497880004,0,2,1,4,1,21,3.091042453358316,0,0,1,0,1,27,3.332204510175204,0,0,2,6,7,1,0,9495.37
4,3,5,2200,7.696667081526462,1,2,27,3.332204510175204,0,0,2,6,7,43,3.784189633918261,0,1,3,1,3,37,3.6375861597263857,0,1,2,2,7,1,0,576.71
1,0,6,26100,10.169728906753061,0,4,48,3.8918202981106265,1,0,3,6,8,11,2.4849066497880004,0,2,1,4,1,30,3.4339872044851463,1,0,0,2,0,1,1,8455.36
5,5,2,2700,7.901377353792616,0,5,19,2.995732273553991,0,1,4,5,9,19,2.995732273553991,0,1,4,5,9,30,3.4339872044851463,1,0,0,2,0,1,2,1240.03
4,1,3,16500,9.711176264112805,0,1,37,3.6375861597263857,0,1,2,2,7,41,3.7376696182833684,0,2,1,6,1,39,3.6888794541139363,0,0,4,4,9,1,0,3741.16
6,6,2,18700,9.83633227734872,1,3,13,2.6390573296152584,0,1,3,6,3,44,3.8066624897703196,1,2,4,2,4,14,2.70805020110221,1,2,4,0,4,1,1,7835.15
1,2,6,13200,9.488047863280759,0,5,26,3.295836866004329,1,2,1,5,6,21,3.091042453358316,0,0,1,0,1,39,3.6888794541139363,0,0,4,4,9,1,0,4707.2
7,0,2,12800,9.45727857185611,2,4,36,3.6109179126442243,1,0,1,1,6,33,3.5263605246161616,0,0,3,5,3,33,3.5263605246161616,0,0,3,5,3,1,1,3677.39
8,3,7,29600,10.295563423525277,2,4,43,3.784189633918261,0,1,3,1,3,35,3.58351893845611,0,2,0,0,5,9,2.302585092994046,0,0,4,2,9,1,0,9979.79
3,1,3,21900,9.994287576862567,0,4,12,2.5649493574615367,1,0,2,5,2,31,3.4657359027997265,0,1,1,3,1,9,2.302585092994046,0,0,4,2,9,1,1,12100.89
0,5,1,2200,7.696667081526462,1,2,34,3.5553480614894135,1,1,4,6,4,37,3.6375861597263857,0,1,2,2,7,25,3.258096538021482,0,1,0,4,5,1,1,686.07
8,3,5,7600,8.936035096566041,1,5,44,3.8066624897703196,1,2,4,2,4,36,3.6109179126442243,1,0,1,1,6,30,3.4339872044851463,1,0,0,2,0,2,0,1906.69
7,2,0,16600,9.717218213494077,1,3,46,3.8501476017100584,1,1,1,4,6,13,2.6390573296152584,0,1,3,6,3,40,3.713572066704308,1,1,0,5,0,1,1,4679.21
