slot_producer,slot_product_name_singular,slot_product_name_plural,slot_per_day,slot_per_day_abs_log1p,slot_per_day_is_even,slot_per_day_mod3,slot_per_day_mod5,slot_per_day_mod7,slot_per_day_mod10,slot_unit_price,slot_unit_price_abs_log1p,slot_unit_price_is_even,slot_unit_price_mod3,slot_unit_price_mod5,slot_unit_price_mod7,slot_unit_price_mod10,slot_currency_symbol,slot_num_weeks,slot_num_weeks_abs_log1p,slot_num_weeks_is_even,slot_num_weeks_mod3,slot_num_weeks_mod5,slot_num_weeks_mod7,slot_num_weeks_mod10,n_multiple_pairs,y
0,0,0,8101,8.999866223762636,0,1,1,2,1,14,2.70805020110221,1,2,4,0,4,0,4,1.6094379124341003,1,1,4,4,4,1,3175592.0
0,1,1,6163,8.726481196440007,0,1,3,3,3,24,3.2188758248682006,1,0,4,3,4,1,2,1.0986122886681098,1,2,2,2,2,1,2070768.0
0,2,2,10328,9.242710752006634,1,2,3,3,8,9,2.302585092994046,0,0,4,2,9,1,2,1.0986122886681098,1,2,2,2,2,1,1301328.0
1,3,3,9982,9.208638925336425,1,1,2,0,2,10,2.3978952727983707,1,1,0,3,0,0,6,1.9459101490553132,1,0,1,6,6,1,4192440.0
2,2,2,10997,9.30546871706776,0,2,2,0,7,14,2.70805020110221,1,2,4,0,4,2,2,1.0986122886681098,1,2,2,2,2,3,2155412.0
3,4,4,477,6.169610732491456,0,0,2,1,7,8,2.1972245773362196,1,2,3,1,8,1,4,1.6094379124341003,1,1,4,4,4,1,106848.0
0,5,5,7186,8.880029117468442,1,1,1,4,6,1,0.6931471805599453,0,1,1,1,1,3,5,1.791759469228055,0,2,0,5,5,3,251510.0
2,0,0,12700,9.44943600950432,1,1,0,2,0,22,3.1354942159291497,1,1,2,1,2,0,6,1.9459101490553132,1,0,1,6,6,0,11734800.0
0,6,6,9918,9.202207388745993,1,0,3,6,8,16,2.833213344056216,1,1,1,2,6,2,6,1.9459101490553132,1,0,1,6,6,1,6664896.0
0,1,1,17288,9.757825740104776,1,2,3,5,8,14,2.70805020110221,1,2,4,0,4,0,1,0.6931471805599453,0,1,1,1,1,4,1694224.0
3,1,1,15618,9.656243400857722,1,0,3,1,8,8,2.1972245773362196,1,2,3,1,8,1,6,1.9459101490553132,1,0,1,6,6,1,5247648.0
3,7,7,12924,9.46691869937663,1,0,4,2,4,19,2.995732273553991,0,1,4,5,9,2,6,1.9459101490553132,1,0,1,6,6,1,10313352.0
0,0,0,11503,9.350450079960828,0,1,3,2,3,17,2.8903717578961645,0,2,2,3,7,2,6,1.9459101490553132,1,0,1,6,6,0,8213142.0
2,2,2,8298,9.023890304598448,1,0,3,3,8,15,2.772588722239781,0,0,0,1,5,1,3,1.3862943611198906,0,0,3,3,3,2,2613870.0
4,3,3,4690,8.453401058328458,1,1,0,0,0,23,3.1780538303479458,0,2,3,2,3,3,4,1.6094379124341003,1,1,4,4,4,1,3020360.0
0,7,7,1403,7.247080584585756,0,2,3,3,3,3,1.3862943611198906,0,0,3,3,3,0,3,1.3862943611198906,0,0,3,3,3,1,88389.0
2,5,5,6774,8.820994645747902,1,0,4,5,4,15,2.772588722239781,0,0,0,1,5,1,1,0.6931471805599453,0,1,1,1,1,3,711270.0
1,3,3,1562,7.354362330421477,1,2,2,1,2,2,1.0986122886681098,1,2,2,2,2,0,6,1.9459101490553132,1,0,1,6,6,2,131208.0
2,8,8,14033,9.549238235812235,0,2,3,5,3,8,2.1972245773362196,1,2,3,1,8,3,5,1.791759469228055,0,2,0,5,5,0,3929240.0
1,6,6,18671,9.834780354526337,0,2,1,2,1,2,1.0986122886681098,1,2,2,2,2,2,5,1.791759469228055,0,2,0,5,5,0,1306970.0
0,1,1,17860,9.790374843904484,1,1,0,3,0,3,1.3862943611198906,0,0,3,3,3,2,4,1.6094379124341003,1,1,4,4,4,1,1500240.0
0,3,3,5059,8.52912176228151,0,1,4,5,9,25,3.258096538021482,0,1,0,4,5,0,3,1.3862943611198906,0,0,3,3,3,0,2655975.0
1,7,7,9293,9.137124309644923,0,2,3,4,3,4,1.6094379124341003,1,1,4,4,4,3,4,1.6094379124341003,1,1,4,4,4,1,1040816.0
