dataset	family	split	model	rowcap	n_samples	n_features	mse	rmse	mae	r2	mse_original	rmse_original	mae_original	r2_original	rounded_consistency
gsm8k-000007	GSM8K	random	tabpfn2	32	32	35	0.13859419524669647	0.37228241329224304	0.3111136257648468	0.5875111818313599	660.1505126953125	25.693394339699697	21.47177505493164	0.5875111818313599	0.0
gsm8k-000011	GSM8K	random	tabpfn2	32	32	51	0.2369227111339569	0.48674707100706516	0.42836275696754456	0.6689015626907349	287855.59375	536.5217551507114	472.1670837402344	0.6689015626907349	0.0
gsm8k-000023	GSM8K	random	tabpfn2	32	32	27	0.7969933748245239	0.8927448542694177	0.5915229916572571	-0.118896484375	196.103759765625	14.003705215607225	9.278700828552246	-0.11889660358428955	0.42857142857142855
gsm8k-000027	GSM8K	random	tabpfn2	32	32	35	0.04412057250738144	0.21004897644925918	0.17756155133247375	0.9196534156799316	213.4694061279297	14.61059225794525	12.350831031799316	0.9196534156799316	0.0
gsm8k-000035	GSM8K	random	tabpfn2	32	32	30	0.0006014058599248528	0.024523577633062694	0.014853643253445625	0.9995396137237549	3.653291702270508	1.9113586011710382	1.1576881408691406	0.9995396137237549	0.7142857142857143
gsm8k-000037	GSM8K	random	tabpfn2	32	32	38	0.9333124160766602	0.966080957309821	0.7126196026802063	-0.1710507869720459	11.519315719604492	3.394011744175982	2.5035574436187744	-0.1710507869720459	0.42857142857142855
gsm8k-000038	GSM8K	random	tabpfn2	32	32	38	0.1914859265089035	0.4375910493930418	0.34757307171821594	0.7890416383743286	127.38445281982422	11.286472115759832	8.964701652526855	0.7890415191650391	0.14285714285714285
gsm8k-000050	GSM8K	random	tabpfn2	32	32	27	0.020487124100327492	0.14313323897797986	0.08391521126031876	0.9672855138778687	59301.48046875	243.51895299698953	142.7687225341797	0.9672855138778687	0.0
gsm8k-000078	GSM8K	random	tabpfn2	32	32	34	2.2963225841522217	1.5153621956985142	0.9577531814575195	0.357413649559021	23132.20703125	152.09275798423144	96.12706756591797	0.3574135899543762	0.0
gsm8k-000084	GSM8K	random	tabpfn2	32	32	17	0.004546180833131075	0.06742537232474935	0.027968313544988632	0.9965595006942749	2.3156797885894775	1.5217357814645345	0.6312226057052612	0.9965595006942749	0.8571428571428571
gsm8k-000086	GSM8K	random	tabpfn2	32	32	32	0.27851808071136475	0.5277481224138697	0.29345399141311646	0.9291337728500366	252.23765563964844	15.88199155142857	8.831171035766602	0.9291337132453918	0.14285714285714285
gsm8k-000088	GSM8K	random	tabpfn2	32	32	19	0.03143567964434624	0.17730109882441855	0.07643745839595795	0.9708157181739807	167697530880.0	409508.88986687455	176546.078125	0.9708157181739807	0.0
