split	rowcap	catboost	icl_llm	lightgbm	random_forest	realmlp	tabm	tabpfn2	tabpfn25	xgboost	xrfm
ood	32	0.0	0.40726817042606517	0.0	0.0	0.0012531328320802004	0.0	0.022556390977443608	0.02631578947368421	0.0012531328320802004	0.0007160759040458288
ood	64	0.0	0.34513274336283184	0.005398110661268557	0.0	0.0013495276653171392	0.0013495276653171392	0.038461538461538464	0.058704453441295545	0.0006747638326585696	0.003114294612270321
ood	128	0.0	0.3648018648018648	0.0020242914979757085	0.005398110661268557	0.0023616734143049934	0.0023616734143049934	0.03407557354925776	0.06815114709851552	0.0003373819163292848	0.004450846050036333
ood	256	0.0005060728744939271		0.0013495276653171392	0.007422402159244264	0.0018556005398110663	0.0025303643724696352	0.023785425101214577	0.07928475033738192	0.0008434547908232119	0.005025044119173674
ood	512	0.0005961505706012604		0.0017884517118037812	0.008175779253960144	0.0028955884857775507	0.008686765457332652	0.018480667688639072	0.09172202350536536	0.0048543689320388345	0.009681452193023797
ood	1024	0.0019255455712451862		0.0028241335044929395	0.009028669234060762	0.005947796320068464	0.02173727000427899	0.020154043645699612	0.08724860932819856	0.008130081300813007	0.01632194704488765
ood	2048	0.004407359863072315		0.004963628583654258	0.01007702182284981	0.008836114676936242	0.0329482242190843	0.016944801026957636	0.0717586649550706	0.009670517757809156	0.017593224584363944
random	32	0.018796992481203006	0.5125313283208021	0.020050125313283207	0.022556390977443608	0.017543859649122806	0.03007518796992481	0.14536340852130325	0.14160401002506265	0.015037593984962405	0.01593268886501969
random	64	0.025641025641025644	0.5289312457454051	0.022267206477732795	0.02496626180836707	0.02968960863697706	0.04993252361673414	0.22199730094466935	0.2611336032388664	0.0310391363022942	0.012872417730717326
random	128	0.043522267206477734	0.46581196581196577	0.04520917678812416	0.04588394062078273	0.03643724696356276	0.08704453441295547	0.22874493927125505	0.354251012145749	0.04622132253711201	0.015519568151147098
random	256	0.07776653171390013		0.06578947368421052	0.05921052631578947	0.047570850202429155	0.1118421052631579	0.2798582995951417	0.4448380566801619	0.06933198380566802	0.015094596698847712
random	512	0.1283427014137285		0.11139499233520694	0.08329075114971896	0.08116164196900016	0.16700732413558167	0.3322261965593596	0.48509623573496846	0.10483733605859309	0.01455401157243188
random	1024	0.1930252460419341		0.16011981172443304	0.12302096705177577	0.12507488232777064	0.22374839537869062	0.37214377406931964	0.5302096705177578	0.1637997432605905	0.01593600300572967
random	2048	0.2641206675224647		0.21972614462986736	0.17783483097988875	0.17133076593923835	0.2798887462558836	0.4263157894736842	0.5647625160462131	0.22252888318356867	0.016596793888349667
